GeneID,log2 FC,log10 p-value
AC103858.3,2.963048651,-2.242431314
AC104447.1,1.426928412,-1.469821837
AC104530.1,1.768648005,-2.040250825
AC105339.2,1.613124859,-2.43641686
AC106028.3,2.720914748,-1.970900373
AC106037.2,2.648939339,-2.585200836
AC106782.4,1.506921664,-2.269138167
AC108134.3,1.395744801,-2.554270078
AC108471.2,1.008005117,-1.362053382
AC108479.1,1.632321012,-1.659671829
AC108704.2,2.097169062,-3.432506374
AC110048.2,1.332911773,-1.629778376
AC112484.1,1.335762272,-1.462810163
AC112484.5,2.521038898,-1.304745325
AC112496.1,3.270897445,-2.502892772
AC116353.6,1.598981248,-1.836142704
AC118344.2,1.45825997,-2.062645286
AC120053.1,1.753882558,-4.675933572
AC120114.3,1.841160547,-3.091683307
AC124319.3,3.714978044,-1.802181942
AC127070.4,1.178257692,-1.446865514
AC127521.1,1.440882972,-1.344428317
AC129492.1,1.192559062,-2.317332327
AC130456.3,4.635675094,-2.118496507
AC131009.4,1.892341325,-2.188193158
AC132938.5,1.868417037,-3.324448562
AC137630.4,1.235893653,-1.675626244
AC138035.1,2.218724417,-1.805255432
AC139530.3,2.501372538,-1.309353672
AC145423.2,1.982581385,-1.445416229
AC211476.6,1.529742422,-1.940479201
AC215522.2,2.610989398,-1.652612928
AC231981.1,2.737879328,-1.338396577
AC244502.1,2.279779382,-2.846358516
ACSS3,3.831857412,-1.938657348
ACTN4P1,1.175870837,-1.382544759
ACTR3,1.017136235,-2.046955321
ADAM8,1.138599203,-1.362685666
ADAMTSL4-AS1,3.260739133,-1.316240288
ADGRG3,2.630064068,-1.358113382
ADIPOR1,1.286004928,-1.341954702
ADORA3,3.492592612,-2.66523969
ADRB2,1.596210251,-1.908348553
AL008729.1,1.643406973,-4.118241536
AL021707.3,1.20462533,-1.507827495
AL021707.6,1.557538153,-2.917222058
AL022316.1,2.89899578,-1.62257161
AL024498.1,1.072469638,-1.680991718
AL031123.1,1.763215536,-1.950478944
AL031283.1,1.259085035,-1.538141837
AL031432.4,3.343166228,-1.837419906
AL033528.2,1.11804923,-2.072127101
AL034417.4,1.303433415,-2.083122307
AL078581.1,1.439252998,-1.57126088
AL096865.1,1.348074967,-1.510824442
AL109741.1,1.1081793,-2.342942232
AL109809.4,2.697696537,-1.655940393
