GeneID;log2 FC;log10 p-value
AC004825.2;-0,577759169;-0,308400206
AC004832.6;-1,611943674;-1,120948371
AC004834.1;0,14692383;-0,051015393
AC004846.1;-0,385016439;-0,211895474
AC004846.2;-0,987802536;-0,91383465
AC004847.1;-1,023763372;-1,095191952
AC004877.1;-1,025381192;-1,393845295
AC004877.2;-0,42575284;-0,786738553
AC004890.2;-0,493763035;-0,991779239
AC004908.2;0,595827463;-0,420985994
AC004921.1;-1,321894189;-0,949130495
AC004922.1;0,107542326;-0,072898733
AC004938.2;-1,333062405;-2,450463567
AC004943.2;0,287281172;-0,368095369
AC004947.3;0,189657733;-0,095545426
AC004948.1;-0,024997425;-0,009577934
AC004951.1;1,777978281;-3,483284062
AC004951.2;1,111540553;-1,44023635
AC004951.3;0,695548288;-0,574263905
AC004951.4;-0,601779622;-0,626861115
AC004967.1;0,877837053;-0,385476822
AC004967.2;-0,331098115;-0,244610182
AC004982.1;-0,234412651;-0,208914906
AC005005.3;-0,477815606;-0,293012205
AC005034.5;-0,709093682;-1,001096571
AC005041.5;-1,802978882;-0,807847994
AC005046.1;-0,635616437;-0,278340896
AC005050.3;0,3319219;-0,168879707
AC005052.2;2,562460753;-0,774696984
AC005070.3;1,46249955;-2,743612112
AC005072.1;1,727611614;-2,288796508
AC005076.1;0,059552108;-0,070602592
AC005076.2;-0,10244238;-0,032391201
AC005082.1;1,337393088;-1,477532196
AC005083.1;0,247548827;-0,070599396
AC005154.2;0,358420929;-0,833468907
AC005165.1;0,449152672;-0,117806162
AC005165.2;-1,243782892;-0,998389949
AC005220.1;1,555248358;-0,830628935
AC005224.2;0,349425885;-0,279807391
AC005224.3;-0,551766633;-0,922636635
AC005225.3;-0,48068357;-0,23849976
AC005225.4;-0,874139842;-0,807572195
AC005229.3;0,052827058;-0,062227563
AC005244.1;-1,985412758;-0,971137229
AC005261.1;-0,382612299;-1,089463045
AC005264.1;1,142166724;-1,71320119
AC005280.1;0,642716052;-0,200756154
AC005280.2;3,118508235;-1,294458199
AC005288.1;0,052556794;-0,129302083
AC005306.1;2,414582716;-1,059753813
AC005329.1;-0,51883595;-1,136827045
AC005332.1;-0,658234921;-0,375731112
AC005332.2;0,813060795;-0,615712602
AC005332.3;0,478009472;-0,480818717
AC005332.4;0,137942622;-0,565070534
AC005332.5;-0,84916472;-1,205330376
AC005332.6;0,246077412;-0,700148325
AC005332.7;0,104998562;-0,054297768
AC005391.1;0,213933129;-0,15230031
AC005394.2;-0,504264281;-0,271082069
AC005410.2;0,662754428;-0,187917196
AC005498.3;1,012115626;-0,720827029
AC005519.1;0,287573714;-0,449070096
AC005520.2;0,18829252;-0,08629676
AC005520.3;-0,179521561;-0,068224999
AC005520.5;-0,470090822;-0,173854084
AC005532.1;-0,241161277;-0,227352104
AC005540.1;1,741713059;-0,73225904
AC005562.1;1,115692106;-1,220960798
AC005670.3;0,628651745;-0,887405526
