GeneID;PAT3 - female;CTRL3 -female;log2 FC;;;
MNDA;30000000;6190000;2,276951186;;;
IGLV5-45;30427;6311;2,269411567;;;
HSH2D;7310000;1520000;2,265800083;;;
TMEM154;5710000;1190000;2,262529172;;;
SIGLEC1;1770000;370637;2,255670545;;;
XPC-AS1;177272;37293;2,248987918;;;
FPR1;16600000;3500000;2,245756414;;;
CYSTM1;492129;103847;2,244576994;;;
KAZN;54240;11475;2,240863025;;;
H2BC19P;367774;78029;2,236737175;;;
NEAT1;39300000;8350000;2,23468121;;;
ABTB1;11500000;2450000;2,230780207;;;
AL117335.1;75407;16065;2,230777474;;;
ARAP3;2460000;528990;2,21734596;;;
AC002059.1;5292;1147;2,20594767;;;
AC004223.4;5292;1147;2,20594767;;;
AC008608.1;5292;1147;2,20594767;;;
AC025287.3;5292;1147;2,20594767;;;
AC025678.3;5292;1147;2,20594767;;;
AC026362.1;5292;1147;2,20594767;;;
AC027682.1;5292;1147;2,20594767;;;
AC061992.2;5292;1147;2,20594767;;;
AC067852.5;5292;1147;2,20594767;;;
AC068631.1;5292;1147;2,20594767;;;
AC073115.2;5292;1147;2,20594767;;;
AC079313.2;5292;1147;2,20594767;;;
AC084024.1;5292;1147;2,20594767;;;
AC087893.2;5292;1147;2,20594767;;;
AC091814.1;5292;1147;2,20594767;;;
AC092115.3;5292;1147;2,20594767;;;
AC105180.2;5292;1147;2,20594767;;;
AL008730.1;5292;1147;2,20594767;;;
AL031705.1;5292;1147;2,20594767;;;
AL645728.2;5292;1147;2,20594767;;;
BET1P1;5292;1147;2,20594767;;;
C1orf189;5292;1147;2,20594767;;;
CFAP20DC;5292;1147;2,20594767;;;
DAZAP2P1;5292;1147;2,20594767;;;
FAM171B;5292;1147;2,20594767;;;
LINC02576;5292;1147;2,20594767;;;
MIR616;5292;1147;2,20594767;;;
MTDHP3;5292;1147;2,20594767;;;
NIPAL1;5292;1147;2,20594767;;;
NSRP1P1;5292;1147;2,20594767;;;
PRELID1P1;5292;1147;2,20594767;;;
RNU4-1;5292;1147;2,20594767;;;
ROR2;5292;1147;2,20594767;;;
SLC6A9;5292;1147;2,20594767;;;
SMPD4P1;5292;1147;2,20594767;;;
SNORA11;5292;1147;2,20594767;;;
SNX18P3;5292;1147;2,20594767;;;
SYN2;5292;1147;2,20594767;;;
TRBV7-4;5292;1147;2,20594767;;;
UBBP4;5292;1147;2,20594767;;;
WDR31;5292;1147;2,20594767;;;
ZYG11A;5292;1147;2,20594767;;;
AC009754.1;7938;1721;2,205528465;;;
AC017074.1;7938;1721;2,205528465;;;
AC025165.2;7938;1721;2,205528465;;;
AC060780.2;7938;1721;2,205528465;;;
AL390957.1;7938;1721;2,205528465;;;
AP001160.1;7938;1721;2,205528465;;;
DNAH10;7938;1721;2,205528465;;;
HS1BP3-IT1;7938;1721;2,205528465;;;
RPL23AP34;7938;1721;2,205528465;;;
SLC2A14;7938;1721;2,205528465;;;
AC113143.2;15875;3442;2,205437589;;;
AL139424.2;15875;3442;2,205437589;;;
AP001469.3;15875;3442;2,205437589;;;
COX20P1;15875;3442;2,205437589;;;
IL20RB;15875;3442;2,205437589;;;
NSMCE1-DT;15875;3442;2,205437589;;;
SULT1A3;15875;3442;2,205437589;;;
AC099343.3;26459;5737;2,205390114;;;
LINC01814;37042;8032;2,205330821;;;
UTS2B;18521;4016;2,205330821;;;
AL109809.4;87313;18933;2,205293443;;;
AC016586.1;29104;6311;2,20527692;;;
AP000763.3;214314;46473;2,205261413;;;
AC139530.3;21167;4590;2,205250752;;;
CC2D2A;21167;4590;2,205250752;;;
CXCL9;21167;4590;2,205250752;;;
U73166.1;21167;4590;2,205250752;;;
AC015912.3;31750;6885;2,205228032;;;
CACNA1D;31750;6885;2,205228032;;;
XAF1;8070000;1750000;2,205213751;;;
MIR3671;34396;7459;2,205186668;;;
AC021321.1;10583;2295;2,205182592;;;
AC035139.1;10583;2295;2,205182592;;;
ADAMDEC1;10583;2295;2,205182592;;;
AL133245.1;10583;2295;2,205182592;;;
AL162615.1;10583;2295;2,205182592;;;
CAP1P1;10583;2295;2,205182592;;;
CDK2AP2P2;10583;2295;2,205182592;;;
GALNT8;10583;2295;2,205182592;;;
RPS3AP43;10583;2295;2,205182592;;;
SPDYE16;10583;2295;2,205182592;;;
TCF7L1;10583;2295;2,205182592;;;
WWTR1;10583;2295;2,205182592;;;
RNF24;4980000;1080000;2,20511443;;;
IGKV1D-8;13229;2869;2,205084137;;;
IGLV2-5;13229;2869;2,205084137;;;
MIR3605;13229;2869;2,205084137;;;
ZNF20;13229;2869;2,205084137;;;
AC138969.1;2646;574;2,20469042;;;
AC140847.2;2646;574;2,20469042;;;
IGKV1D-12;2646;574;2,20469042;;;
LINC01269;2646;574;2,20469042;;;
RNU6-1152P;2646;574;2,20469042;;;
RNU6-925P;2646;574;2,20469042;;;
SNORA53;2646;574;2,20469042;;;
TRAJ47;2646;574;2,20469042;;;
HES4;437889;95241;2,200910535;;;
HIP1;1920000;417684;2,200622526;;;
PI4KAP1;768621;167532;2,197835705;;;
CEP19;391586;85487;2,195552235;;;
GHRL;183887;40162;2,194916471;;;
PPP1R12B;2090000;456698;2,194190565;;;
MMP9;1650000;360883;2,192862935;;;
H4C8;125678;27540;2,190131663;;;
CA1;99220;21802;2,186170471;;;
H2BC5;75407;16638;2,180216432;;;
RN7SL1;1250000;275970;2,179344746;;;
AC092910.3;67469;14917;2,177267359;;;
IGLV6-57;186533;41309;2,174902842;;;
AC007342.5;165366;36719;2,171063966;;;
LRRK2;8730000;1940000;2,169925001;;;
LINC02193;46302;10327;2,1646533;;;
AC083862.1;324117;72291;2,16462674;;;
REPS2;676016;150894;2,163521952;;;
AC008764.8;87313;19507;2,162204551;;;
MRPL20-DT;87313;19507;2,162204551;;;
ELOCP19;43657;9754;2,162147118;;;
AC004951.2;41011;9180;2,159444864;;;
AL117344.2;35719;8032;2,152860516;;;
EPSTI1;2420000;545054;2,150535974;;;
LINC00173;355867;80324;2,147435136;;;
ZBP1;2460000;555382;2,14710599;;;
ARHGEF2-AS2;93928;21228;2,145586836;;;
UCKL1-AS1;30427;6885;2,143823537;;;
SMCHD1;11900000;2700000;2,139930261;;;
DHRS9;879746;199662;2,139527267;;;
AL445524.1;55563;12622;2,138183968;;;
APOLD1;55563;12622;2,138183968;;;
NCF4;2180000;496860;2,133416828;;;
AC011933.2;25136;5737;2,131386663;;;
PTGES;50271;11475;2,131232234;;;
DHX34;2880000;657508;2,130988459;;;
RPGRIP1;316180;72291;2,12885816;;;
BEND7;44980;10327;2,12286245;;;
C1orf220;44980;10327;2,12286245;;;
AL669831.4;22490;5164;2,122722755;;;
ZDHHC19;22490;5164;2,122722755;;;
AC023157.2;214314;49342;2,118837997;;;
ALOX5AP;4690000;1080000;2,11855661;;;
AC091390.3;19844;4590;2,112136804;;;
AP001269.4;19844;4590;2,112136804;;;
ATP2A1;39688;9180;2,112136804;;;
AC021106.1;88636;20655;2,101401716;;;
SCAT8;88636;20655;2,101401716;;;
ZDHHC18;9090000;2120000;2,10021603;;;
OAS1;6470000;1510000;2,099217163;;;
AC051619.5;17198;4016;2,098409626;;;
C11orf98;17198;4016;2,098409626;;;
MPZ;206377;48194;2,098356745;;;
CHKB-CPT1B;115095;26966;2,09361172;;;
CARD17;48948;11475;2,092755759;;;
H1-2;268554;63112;2,089225962;;;
TREM1;3340000;786026;2,087199163;;;
AC115284.4;14552;3442;2,079898446;;;
AL158212.5;14552;3442;2,079898446;;;
HASPIN;14552;3442;2,079898446;;;
PCDHGB6;14552;3442;2,079898446;;;
RPSAP19;14552;3442;2,079898446;;;
SLC25A10;14552;3442;2,079898446;;;
DRAIC;43657;10327;2,079791784;;;
LINC02631;43657;10327;2,079791784;;;
AC006001.2;58209;13770;2,079713674;;;
AL627309.5;87313;20655;2,079705412;;;
TNFSF14;1120000;265069;2,079058871;;;
AC183084.1;55563;13196;2,074023814;;;
C7orf61;26459;6311;2,067818008;;;
P2RY13;5400000;1290000;2,065588342;;;
ANTXRLP1;38365;9180;2,063224696;;;
DOCK5;4760000;1140000;2,061927749;;;
EIF2AK2;3660000;877251;2,060782056;;;
AP000944.7;35719;8606;2,053276945;;;
AC005562.1;11906;2869;2,053068926;;;
AC005696.3;11906;2869;2,053068926;;;
SNORD17;11906;2869;2,053068926;;;
TMEM269;11906;2869;2,053068926;;;
AC132938.5;128324;30982;2,050288835;;;
SERPING1;579442;139993;2,049309569;;;
AC020656.2;56886;13770;2,04654508;;;
QPCT;1620000;392439;2,045453486;;;
PILRB;686599;166385;2,044942379;;;
AC012368.1;1610000;393013;2,034411749;;;
AP000873.1;72761;17786;2,03242328;;;
SOD2;16300000;3990000;2,030411313;;;
TREML2;1230000;302362;2,024309573;;;
TAP2;137584;33851;2,023042347;;;
EGLN1;685276;168680;2,022396235;;;
RPSAP58;505358;124502;2,02113685;;;
NFE2L3;236804;58522;2,016642471;;;
AL132780.5;18521;4590;2,012595937;;;
CD80;18521;4590;2,012595937;;;
H4-16;55563;13770;2,012595937;;;
PGM5;18521;4590;2,012595937;;;
TNFSF15;37042;9180;2,012595937;;;
MIR4489;27781;6885;2,012569972;;;
AC007546.3;9260;2295;2,01251804;;;
AC007610.4;9260;2295;2,01251804;;;
AC015911.4;9260;2295;2,01251804;;;
AC016027.1;9260;2295;2,01251804;;;
AC026341.1;9260;2295;2,01251804;;;
AC046143.2;9260;2295;2,01251804;;;
AC113404.1;9260;2295;2,01251804;;;
AC116407.1;9260;2295;2,01251804;;;
AC133550.3;9260;2295;2,01251804;;;
AL031123.5;9260;2295;2,01251804;;;
AL139289.1;9260;2295;2,01251804;;;
AL158166.1;9260;2295;2,01251804;;;
DYNC1I2P1;9260;2295;2,01251804;;;
FAM171A2;9260;2295;2,01251804;;;
FGF22;9260;2295;2,01251804;;;
LINC00880;9260;2295;2,01251804;;;
LINC01907;9260;2295;2,01251804;;;
LINC02352;9260;2295;2,01251804;;;
LINC02766;9260;2295;2,01251804;;;
LRRIQ3;9260;2295;2,01251804;;;
MANEA-DT;9260;2295;2,01251804;;;
OTUD7A;9260;2295;2,01251804;;;
PARVA;9260;2295;2,01251804;;;
SDHDP6;9260;2295;2,01251804;;;
TNRC18P1;9260;2295;2,01251804;;;
TRAJ19;9260;2295;2,01251804;;;
TUB;9260;2295;2,01251804;;;
ZBTB20-AS1;9260;2295;2,01251804;;;
IL10RB;257971;64259;2,005238458;;;
CCR1;4490000;1120000;2,003216713;;;
CCR3;711735;177860;2,000598092;;;
ATP6V0C;68792;17212;1,998826055;;;
SPOUT1;34396;8606;1,998826055;;;
IGFBP4;128324;32130;1,997798132;;;
EPHB1;341315;85487;1,997326868;;;
GCA;4820000;1210000;1,994026099;;;
IGLJ2;25136;6311;1,993814557;;;
AC008610.1;50271;12622;1,993785859;;;
AC067852.3;41011;10327;1,989589711;;;
NCF1;9280000;2340000;1,987616276;;;
DDO;31750;8032;1,982925417;;;
ST3GAL5-AS1;15875;4016;1,982925417;;;
U73169.1;31750;8032;1,982925417;;;
SLC4A1;601932;152615;1,979703749;;;
TPTEP2;156105;39588;1,979381658;;;
AL732372.2;287075;72865;1,978129797;;;
CEP170B;130970;33277;1,976639104;;;
ABCC6;22490;5737;1,970915238;;;
AC008079.1;22490;5737;1,970915238;;;
AC048341.2;22490;5737;1,970915238;;;
PDLIM1P4;22490;5737;1,970915238;;;
TIMM23B-AGAP6;22490;5737;1,970915238;;;
AC116407.2;67469;17212;1,970810034;;;
LPAR2;3580000;917412;1,964317904;;;
UBQLNL;29104;7459;1,964163316;;;
BHLHA15;93928;24097;1,962701744;;;
MEF2C-AS1;48948;12622;1,955309384;;;
LY96;551661;142288;1,954967996;;;
SLC19A1;2240000;580626;1,947817651;;;
AC004817.5;6615;1721;1,942494059;;;
AC006511.5;6615;1721;1,942494059;;;
AC027307.3;6615;1721;1,942494059;;;
AC241377.3;6615;1721;1,942494059;;;
AL138963.1;6615;1721;1,942494059;;;
AL645608.7;6615;1721;1,942494059;;;
PPIAP4;6615;1721;1,942494059;;;
PRRT3-AS1;6615;1721;1,942494059;;;
TRAJ9;6615;1721;1,942494059;;;
ZDHHC20-IT1;6615;1721;1,942494059;;;
ZNF793-AS1;6615;1721;1,942494059;;;
AC006230.1;13229;3442;1,942385008;;;
FLJ42393;13229;3442;1,942385008;;;
RGPD1;13229;3442;1,942385008;;;
RTN4RL1;13229;3442;1,942385008;;;
NOXRED1;39688;10327;1,942281651;;;
AC138035.1;99220;25818;1,942253711;;;
PPIAP29;26459;6885;1,942229977;;;
AC132872.5;79376;20655;1,942211802;;;
SMIM1;46302;12049;1,942161096;;;
ANO7L1;19844;5164;1,942141957;;;
HELZ2;6140000;1600000;1,94016675;;;
PDLIM7;3070000;803812;1,933308635;;;
PGLYRP1;400847;104995;1,93273105;;;
FAM174A;240773;63112;1,931687371;;;
AC132192.2;56886;14917;1,93111622;;;
MADCAM1;50271;13196;1,929625705;;;
CASS4;855934;224907;1,928170992;;;
IATPR;43657;11475;1,927718842;;;
AP000926.2;30427;8032;1,921520922;;;
GPLD1;30427;8032;1,921520922;;;
ZNF117;1490000;393587;1,920557856;;;
AL391832.2;115095;30408;1,920302325;;;
ABHD5;1170000;309247;1,919677025;;;
TMEM45B;108480;28687;1,918960075;;;
AC022306.2;23813;6311;1,915808857;;;
AC040160.2;23813;6311;1,915808857;;;
AL137003.1;71438;18933;1,915788662;;;
LITAF;12600000;3340000;1,915503726;;;
AP001453.3;17198;4590;1,905674741;;;
FLOT1;17198;4590;1,905674741;;;
SPATA1;17198;4590;1,905674741;;;
SLC2A3;5620000;1500000;1,90560763;;;
TECPR2;1830000;488828;1,904444819;;;
TMEM71;3380000;903069;1,904115119;;;
CCDC153;79376;21228;1,902734408;;;
TRIM25;6460000;1730000;1,900762127;;;
SUPT4H1;100542;26966;1,898584852;;;
PPCDC;771266;207121;1,896754678;;;
DSC2;254002;68275;1,895410543;;;
TRIM9;38365;10327;1,893369544;;;
MCTP2;1550000;417684;1,89178443;;;
AC009318.1;216960;58522;1,890378104;;;
MSRB1;4560000;1230000;1,890375509;;;
AC022762.2;59532;16065;1,889744382;;;
IGKV1D-16;21167;5737;1,883448387;;;
AC010623.1;10583;2869;1,883128778;;;
AC100827.2;10583;2869;1,883128778;;;
AL513314.2;10583;2869;1,883128778;;;
TMIGD3;10583;2869;1,883128778;;;
TSFM;10583;2869;1,883128778;;;
PEAK3;420691;114175;1,881514165;;;
ARRDC3;3090000;839384;1,88020397;;;
NCF1B;2800000;761355;1,87878562;;;
NADK;10300000;2810000;1,874002302;;;
CCR6;35719;9754;1,872625813;;;
DKK3;25136;6885;1,868226526;;;
FAM209B;25136;6885;1,868226526;;;
ZNF442;25136;6885;1,868226526;;;
CHRNE;123032;33851;1,861763244;;;
DYSF;5510000;1520000;1,857980995;;;
AC145423.2;14552;4016;1,857386274;;;
TMCO1-AS1;14552;4016;1,857386274;;;
ATG16L2;20900000;5770000;1,856859718;;;
PRRG4;455087;125649;1,856743186;;;
TP53INP2;309565;85487;1,856465416;;;
HLA-C;49600000;13700000;1,856164227;;;
GATA1;76730;21228;1,853822301;;;
NQO2;732902;203104;1,851401648;;;
CXCL10;132293;36719;1,849138052;;;
PARP9;5510000;1530000;1,848520666;;;
MIR4477B;55563;15491;1,842694218;;;
AL139020.1;74084;20655;1,842670936;;;
STAG3L5P-PVRIG2P-PILRB;18521;5164;1,84260109;;;
NIBAN1;5020000;1400000;1,842260537;;;
VMP1;8490000;2370000;1,840877495;;;
CD274;297659;83192;1,83914381;;;
LRRN1;44980;12622;1,833343133;;;
AC007342.9;89959;25245;1,833269947;;;
B3GNT8;723641;203104;1,833055498;;;
MPZL1;1210000;339655;1,83286505;;;
USP18;232835;65407;1,831790992;;;
AC099524.1;97897;27540;1,82973609;;;
HELB;291044;82045;1,826749956;;;
IL27;26459;7459;1,826704405;;;
TMEM88;117740;33277;1,823007251;;;
AP002954.1;30427;8606;1,821937351;;;
IL1RAP;621776;176139;1,819680551;;;
RNF149;7480000;2120000;1,818974005;;;
ENTPD1;3290000;934051;1,816514354;;;
SEC14L1;6290000;1790000;1,81310043;;;
DLEU2;609869;173844;1,81070611;;;
KIF27;189179;53932;1,810538509;;;
TTC26;100542;28687;1,809329284;;;
GSEC;116418;33277;1,806716856;;;
IGLV8-61;128324;36719;1,805192344;;;
DNAJC3-DT;66146;18933;1,804750887;;;
AC090181.1;70115;20081;1,803892004;;;
AL627309.7;834767;239824;1,799397528;;;
ELAPOR1;846673;243266;1,799270186;;;
DDX58;223575;64259;1,798788441;;;
TM6SF1;292367;84340;1,793491554;;;
GALNT3;435243;125649;1,792421906;;;
AC020931.1;3969;1147;1,790910171;;;
AC064847.1;3969;1147;1,790910171;;;
AC092535.2;3969;1147;1,790910171;;;
AC098484.4;3969;1147;1,790910171;;;
AC105036.3;3969;1147;1,790910171;;;
AC108488.2;3969;1147;1,790910171;;;
AC112907.3;3969;1147;1,790910171;;;
AC124283.3;3969;1147;1,790910171;;;
AC137630.2;3969;1147;1,790910171;;;
ACKR4;3969;1147;1,790910171;;;
AL031846.2;3969;1147;1,790910171;;;
AL121583.1;3969;1147;1,790910171;;;
AL161729.4;3969;1147;1,790910171;;;
AL359881.1;3969;1147;1,790910171;;;
AL450384.1;3969;1147;1,790910171;;;
AP000446.1;3969;1147;1,790910171;;;
AP000692.2;3969;1147;1,790910171;;;
C15orf48;3969;1147;1,790910171;;;
C20orf203;3969;1147;1,790910171;;;
EEF1DP7;3969;1147;1,790910171;;;
FAM166B;3969;1147;1,790910171;;;
FAR2P2;3969;1147;1,790910171;;;
FERMT2;3969;1147;1,790910171;;;
GAPDHP63;3969;1147;1,790910171;;;
GDF10;3969;1147;1,790910171;;;
GTF2IRD2P1;3969;1147;1,790910171;;;
H4C14;3969;1147;1,790910171;;;
HERC2P10;3969;1147;1,790910171;;;
HHIP-AS1;3969;1147;1,790910171;;;
HLA-DPA1;3969;1147;1,790910171;;;
IGLC5;3969;1147;1,790910171;;;
IL17C;3969;1147;1,790910171;;;
KHDRBS3;3969;1147;1,790910171;;;
KLHL30;3969;1147;1,790910171;;;
LINC01229;3969;1147;1,790910171;;;
LINC01750;3969;1147;1,790910171;;;
MIR4645;3969;1147;1,790910171;;;
MRPL37P1;3969;1147;1,790910171;;;
PCNPP1;3969;1147;1,790910171;;;
PRKCG;3969;1147;1,790910171;;;
PSD2;3969;1147;1,790910171;;;
RBMS1P1;3969;1147;1,790910171;;;
RCVRN;3969;1147;1,790910171;;;
RN7SL3;3969;1147;1,790910171;;;
RN7SL336P;3969;1147;1,790910171;;;
RPL29P14;3969;1147;1,790910171;;;
SLC34A1;3969;1147;1,790910171;;;
ZBTB8A;3969;1147;1,790910171;;;
AC016405.1;11906;3442;1,790369797;;;
AC087741.3;11906;3442;1,790369797;;;
AL390208.1;11906;3442;1,790369797;;;
CDRT4;11906;3442;1,790369797;;;
KLF7-IT1;11906;3442;1,790369797;;;
NLRP9P1;11906;3442;1,790369797;;;
RALGPS2-AS1;11906;3442;1,790369797;;;
SCUBE2;11906;3442;1,790369797;;;
SLC12A8;11906;3442;1,790369797;;;
SLED1;11906;3442;1,790369797;;;
LINC02285;19844;5737;1,790334439;;;
AC004982.1;7938;2295;1,790281409;;;
AC005046.1;7938;2295;1,790281409;;;
AC005264.1;7938;2295;1,790281409;;;
AC009041.3;7938;2295;1,790281409;;;
AC090772.3;7938;2295;1,790281409;;;
AC091196.1;7938;2295;1,790281409;;;
AL033543.1;7938;2295;1,790281409;;;
AL354696.2;7938;2295;1,790281409;;;
AL355303.2;7938;2295;1,790281409;;;
AP003419.3;7938;2295;1,790281409;;;
CCND2-AS1;7938;2295;1,790281409;;;
CNNM1;7938;2295;1,790281409;;;
ESCO2;7938;2295;1,790281409;;;
FLJ46284;7938;2295;1,790281409;;;
GNAS-AS1;7938;2295;1,790281409;;;
H2BC17;7938;2295;1,790281409;;;
KRT81;7938;2295;1,790281409;;;
LINC01031;7938;2295;1,790281409;;;
LINC01132;7938;2295;1,790281409;;;
LINC01187;7938;2295;1,790281409;;;
LINC01513;7938;2295;1,790281409;;;
OSCP1;7938;2295;1,790281409;;;
PBK;7938;2295;1,790281409;;;
PPP5D1;7938;2295;1,790281409;;;
SLC14A2;7938;2295;1,790281409;;;
SLC16A14;7938;2295;1,790281409;;;
SUMO2P17;7938;2295;1,790281409;;;
SYCE2;7938;2295;1,790281409;;;
TMPRSS9;7938;2295;1,790281409;;;
LINC00115;35719;10327;1,79027048;;;
SPDYE18;35719;10327;1,79027048;;;
AC138150.2;67469;19507;1,790232857;;;
AC005332.7;23813;6885;1,790220826;;;
AC034236.2;23813;6885;1,790220826;;;
AC024257.3;55563;16065;1,790203516;;;
AL359762.3;87313;25245;1,790198795;;;
AL035661.1;15875;4590;1,790190533;;;
TNFSF10;7050000;2040000;1,789054105;;;
TLR6;1630000;472763;1,78568293;;;
RILPL1;152137;44178;1,783971049;;;
TENT5C;1050000;305230;1,782420656;;;
SAMD9L;6080000;1770000;1,780321963;;;
AC015871.3;596640;173844;1,779067427;;;
IFNG-AS1;72761;21228;1,777196917;;;
MPZL3;1390000;405635;1,776830838;;;
AC068205.2;56886;16638;1,773591618;;;
BRCA1;195793;57374;1,770860178;;;
AL390879.1;48948;14344;1,77080252;;;
TMPRSS3;78053;22950;1,76595993;;;
IGLV3-21;321471;94667;1,763755089;;;
GBP5;6550000;1930000;1,762894059;;;
GBP1;4240000;1250000;1,76213617;;;
NCF1C;4240000;1250000;1,76213617;;;
AC092384.3;29104;8606;1,757802703;;;
DDX60L;5240000;1550000;1,757298596;;;
KCNQ1OT1;54240;16065;1,755436198;;;
LINC02656;50271;14917;1,752768967;;;
AC009093.8;25136;7459;1,752700954;;;
AOAH-IT1;25136;7459;1,752700954;;;
ZNF267;964414;286297;1,752140041;;;
PLXNC1;6060000;1800000;1,751320887;;;
NLGN3;168012;49915;1,751018948;;;
TSPAN2;358513;106716;1,748248937;;;
ANKRD34B;21167;6311;1,745876282;;;
LILRB3;1470000;438338;1,745700497;;;
IKBIP;590025;176139;1,744061704;;;
LRFN1;681307;203678;1,742014872;;;
CEP63;1270000;379817;1,741452112;;;
CLEC9A;38365;11475;1,741296601;;;
AC015911.7;149491;44752;1,740034567;;;
CTBS;777881;232939;1,739597265;;;
ST6GALNAC6;34396;10327;1,735819589;;;
IRAG1;697182;209416;1,735163649;;;
LIN7A;679984;204252;1,735150595;;;
DDX60;1920000;577184;1,734003098;;;
KDM6B;7810000;2350000;1,732661792;;;
SH3D21;203731;61390;1,730589945;;;
PLB1;764652;230644;1,729135551;;;
AL158071.2;30427;9180;1,728786037;;;
TMEM191C;30427;9180;1,728786037;;;
MYOM1;74084;22376;1,727209837;;;
RTP4;463024;139993;1,725732284;;;
CLEC4D;414076;125649;1,720496397;;;
AC015799.1;26459;8032;1,719927363;;;
CNN2P9;26459;8032;1,719927363;;;
RPL10P19;13229;4016;1,719872836;;;
AC080112.4;39688;12049;1,719789447;;;
NFIL3;971028;294903;1,719272398;;;
IFITM1;5720000;1740000;1,716927841;;;
ARG1;88636;26966;1,716751241;;;
PARP14;10100000;3080000;1,713353037;;;
AC022167.1;35719;10901;1,712231205;;;
SLIT1;35719;10901;1,712231205;;;
LRWD1;922080;281707;1,710696512;;;
NPL;1890000;577758;1,709848998;;;
NRBF2;1620000;496286;1,706750151;;;
TSTD3;76730;23523;1,705718689;;;
MOSPD2;1260000;387849;1,699856747;;;
TCN1;197116;60817;1,696498328;;;
SLC6A6;8250000;2550000;1,693896872;;;
WDFY3;1770000;547923;1,691704291;;;
H2BC7;18521;5737;1,690793573;;;
PDCD1LG2;18521;5737;1,690793573;;;
AC009951.4;55563;17212;1,690709751;;;
SENCR;64823;20081;1,690674675;;;
CPT1B;74084;22950;1,690667842;;;
AP000977.1;46302;14344;1,690627118;;;
AC122718.1;9260;2869;1,690464225;;;
DTX2P1;9260;2869;1,690464225;;;
PCBP2-OT1;9260;2869;1,690464225;;;
OAS2;7030000;2180000;1,689196554;;;
TXNDC5;150814;47047;1,680595724;;;
FAM21FP;33073;10327;1,679232705;;;
LINC00189;33073;10327;1,679232705;;;
MIRLET7BHG;165366;51637;1,67918555;;;
SRXN1;62178;19507;1,672412291;;;
UBR5-AS1;398201;125076;1,670691857;;;
CHMP5;1420000;446371;1,669575724;;;
AC008033.3;111126;34998;1,666852017;;;
IGLV2-18;43657;13770;1,664684436;;;
AC073343.1;14552;4590;1,664651389;;;
AC090114.3;29104;9180;1,664651389;;;
AL731559.1;29104;9180;1,664651389;;;
GTF2H2C;14552;4590;1,664651389;;;
H2AZ2P1;14552;4590;1,664651389;;;
HESX1;14552;4590;1,664651389;;;
MIR5587;14552;4590;1,664651389;;;
SOBP;14552;4590;1,664651389;;;
LINC01409;48948;15491;1,659819635;;;
AFDN;304273;96389;1,658425901;;;
IFIH1;1540000;488828;1,655531521;;;
GPSM2;93928;29835;1,654549513;;;
AC011726.2;19844;6311;1,652762334;;;
GDF7;39688;12622;1,652762334;;;
LAMB3;19844;6311;1,652762334;;;
APOL2;3070000;977655;1,650841301;;;
H2AC6;1980000;630542;1,650836054;;;
IGSF6;129647;41309;1,650060782;;;
KCNE3;2180000;695375;1,648465029;;;
ITGAX;22400000;7150000;1,647483585;;;
AC009237.14;25136;8032;1,645923911;;;
AC025048.2;25136;8032;1,645923911;;;
SDC2;25136;8032;1,645923911;;;
ZNF80;25136;8032;1,645923911;;;
AC010210.1;80699;25818;1,64417355;;;
LINC00211;55563;17786;1,643382406;;;
IFITM3P2;30427;9754;1,641286218;;;
IL18R1;586057;188187;1,638874018;;;
AC010894.4;107157;34424;1,638239446;;;
EIF4EBP3;35719;11475;1,638197537;;;
SAMD9;3480000;1120000;1,635588574;;;
AL135818.1;169335;54505;1,63541971;;;
SH3GL1P1;97897;31556;1,633350307;;;
TLE3;4620000;1490000;1,632580521;;;
HTATSF1P2;108480;34998;1,632084698;;;
AC004069.1;62178;20081;1,630573097;;;
FAM71F2;78053;25245;1,628456406;;;
ACCS;982935;318426;1,626137877;;;
AC015802.7;5292;1721;1,620565964;;;
AC061975.8;5292;1721;1,620565964;;;
AC242842.1;5292;1721;1,620565964;;;
AL121890.4;5292;1721;1,620565964;;;
CAMTA1-DT;5292;1721;1,620565964;;;
COLCA1;5292;1721;1,620565964;;;
EIF4EP2;5292;1721;1,620565964;;;
EML4-AS1;5292;1721;1,620565964;;;
LINC01393;5292;1721;1,620565964;;;
MIR6503;5292;1721;1,620565964;;;
PHBP19;5292;1721;1,620565964;;;
RN7SL81P;5292;1721;1,620565964;;;
AC023830.3;10583;3442;1,620429649;;;
AC087289.1;10583;3442;1,620429649;;;
ACTA1;10583;3442;1,620429649;;;
C9orf163;10583;3442;1,620429649;;;
MED14OS;10583;3442;1,620429649;;;
METTL21EP;10583;3442;1,620429649;;;
MYLPF;10583;3442;1,620429649;;;
NBPF19;10583;3442;1,620429649;;;
TNFRSF19;10583;3442;1,620429649;;;
TRAJ20;10583;3442;1,620429649;;;
YY2;10583;3442;1,620429649;;;
TRBV5-5;26459;8606;1,620343792;;;
WLS;492129;160074;1,620297536;;;
MORN3;47625;15491;1,620288814;;;
AC012651.1;21167;6885;1,620288251;;;
ANAPC1P1;21167;6885;1,620288251;;;
BUB1B;21167;6885;1,620288251;;;
AC104564.5;63500;20655;1,620265532;;;
SRGN;17100000;5580000;1,615659298;;;
FAM126B;1090000;355720;1,615514139;;;
NEFL;101865;33277;1,614061156;;;
PISD;4020000;1320000;1,606657572;;;
CCPG1;420691;138272;1,605251913;;;
PTEN;132293;43604;1,601204335;;;
PELI1;2390000;788321;1,600155506;;;
DDIT3;377034;124502;1,59852571;;;
