GeneID;PAT3 - female;CTRL3 -female;log2 FC;;;
H1-4;14552;1147;3,665280152;;;
LINC00471;14552;1147;3,665280152;;;
PRDM5;116418;9180;3,664676174;;;
AC008569.2;29104;2295;3,664651389;;;
SLC5A9;29104;2295;3,664651389;;;
PLIN5;498743;39588;3,655161504;;;
SPACA6;128324;10327;3,635297902;;;
AC002456.1;56886;4590;3,631507581;;;
CEACAM1;1400000;114175;3,616108132;;;
DAPK2;1260000;103273;3,608888708;;;
VNN3;1340000;110158;3,604586824;;;
AC010331.1;27781;2295;3,597532472;;;
IGLC2;8970000;743569;3,592569456;;;
AC011472.2;542400;45326;3,580946424;;;
NT5DC4;75407;6311;3,578757926;;;
CFAP92;95251;8032;3,567903065;;;
HBB;872000000;74400000;3,550953609;;;
AQP9;11800000;1010000;3,546359661;;;
AC011816.1;13229;1147;3,527766714;;;
AC015912.2;13229;1147;3,527766714;;;
AC116667.1;13229;1147;3,527766714;;;
H2AC15;13229;1147;3,527766714;;;
LINC01888;13229;1147;3,527766714;;;
LRRC37A17P;13229;1147;3,527766714;;;
TRAJ11;13229;1147;3,527766714;;;
TYRO3P;13229;1147;3,527766714;;;
AL731577.2;19844;1721;3,52738386;;;
LRRK2-DT;257971;22376;3,527184829;;;
AC007378.1;6615;574;3,526618514;;;
AC007666.1;6615;574;3,526618514;;;
CTRC;6615;574;3,526618514;;;
MIR765;6615;574;3,526618514;;;
PFKP-DT;6615;574;3,526618514;;;
HBM;144199;12622;3,514048726;;;
SIGLEC5;214314;18933;3,500751162;;;
AC005280.2;103188;9180;3,490637242;;;
AC112496.1;51594;4590;3,490637242;;;
KREMEN1;627067;56227;3,47928462;;;
FST;63500;5737;3,468388169;;;
STEAP4;6300000;574889;3,453996497;;;
AC021087.5;25136;2295;3,453189027;;;
CEP295NL;25136;2295;3,453189027;;;
IGLV1-51;25136;2295;3,453189027;;;
AC016831.1;80699;7459;3,435496664;;;
AC004233.2;99220;9180;3,434064898;;;
H3-3A-DT;37042;3442;3,427842993;;;
HBQ1;85990;8032;3,42033772;;;
AC008964.1;48948;4590;3,414683854;;;
AOC2;415399;39014;3,412433916;;;
NAIP;30427;2869;3,406732223;;;
AC004241.1;96574;9180;3,395068775;;;
CYP4F12;132293;12622;3,389724293;;;
IFI6;4770000;455551;3,388304785;;;
ACSS3;89959;8606;3,385852879;;;
VNN2;14000000;1340000;3,385121921;;;
AC022167.3;11906;1147;3,375751503;;;
AC079944.2;11906;1147;3,375751503;;;
AC092117.2;11906;1147;3,375751503;;;
AC130448.2;11906;1147;3,375751503;;;
FFAR3;11906;1147;3,375751503;;;
LINC01465;11906;1147;3,375751503;;;
ZDHHC15;11906;1147;3,375751503;;;
AC024270.4;23813;2295;3,375183326;;;
H2BC6;23813;2295;3,375183326;;;
CPA5;71438;6885;3,375163131;;;
AL353795.3;47625;4590;3,375153034;;;
AL391825.1;47625;4590;3,375153034;;;
GOLGA5P1;47625;4590;3,375153034;;;
MMP25;14400000;1390000;3,372912024;;;
MX1;16900000;1640000;3,365255527;;;
NRIR;230189;22376;3,362794829;;;
CLDN9;164043;16065;3,352081147;;;
IDO1;149491;14917;3,325029305;;;
MTCO3P11;17198;1721;3,320921797;;;
KIAA0825;74084;7459;3,312107864;;;
AC215522.2;67469;6885;3,292696219;;;
HCG27;448472;46473;3,27055323;;;
GCM1;33073;3442;3,264334914;;;
ST6GALNAC2;407461;42457;3,262587639;;;
HECW2;76730;8032;3,25595958;;;
NFE4;153460;16065;3,255869774;;;
PANX2;600609;63112;3,250439846;;;
MXD1;13600000;1440000;3,239465935;;;
ISG15;4240000;449239;3,238509181;;;
RMRP;298981;32130;3,218060919;;;
AC016571.1;10583;1147;3,205811355;;;
AC107294.2;10583;1147;3,205811355;;;
AC110611.1;10583;1147;3,205811355;;;
AC137932.1;10583;1147;3,205811355;;;
AL590009.1;10583;1147;3,205811355;;;
BLACAT1;10583;1147;3,205811355;;;
BLZF2P;10583;1147;3,205811355;;;
BX322639.1;10583;1147;3,205811355;;;
JARID2-AS1;10583;1147;3,205811355;;;
KCNE5;10583;1147;3,205811355;;;
LINC02804;10583;1147;3,205811355;;;
PAGE2B;10583;1147;3,205811355;;;
RN7SL328P;10583;1147;3,205811355;;;
RPS2P44;10583;1147;3,205811355;;;
SLC22A13;10583;1147;3,205811355;;;
AC011445.1;31750;3442;3,205437589;;;
ACOXL;15875;1721;3,205437589;;;
SCGB3A1;31750;3442;3,205437589;;;
OR52K1;52917;5737;3,205362851;;;
RPL12P27;21167;2295;3,205250752;;;
TRIM6;42334;4590;3,205250752;;;
LINC01359;148168;16065;3,205241015;;;
IGKV1D-13;127001;13770;3,205239392;;;
AL954705.1;5292;574;3,20469042;;;
H3P36;5292;574;3,20469042;;;
HSD17B6;5292;574;3,20469042;;;
RNU4-82P;5292;574;3,20469042;;;
TRAJ35;5292;574;3,20469042;;;
NAMPT;24900000;2710000;3,199780986;;;
EXOC3L1;168012;18360;3,193926315;;;
ALPL;4020000;440060;3,191423355;;;
HCAR3;2180000;240971;3,177396696;;;
AC104695.2;51594;5737;3,168834878;;;
REM2;694537;77455;3,164621274;;;
U62317.3;174626;19507;3,162204551;;;
GPR27;550338;61964;3,150815765;;;
ANXA3;612515;69423;3,14125956;;;
CCNJL;677339;76881;3,139179059;;;
C3orf86;181241;20655;3,133346391;;;
LSMEM1;50271;5737;3,131357965;;;
SLC25A37;17600000;2030000;3,116023796;;;
AC099489.2;19844;2295;3,112136804;;;
LINC01136;19844;2295;3,112136804;;;
RPS3AP18;19844;2295;3,112136804;;;
SNORC;19844;2295;3,112136804;;;
ADM;817569;95241;3,101685821;;;
FAM157B;123032;14344;3,100514304;;;
AL162377.3;34396;4016;3,098409626;;;
AC099343.2;48948;5737;3,09288149;;;
RGL3;48948;5737;3,09288149;;;
NECAB2;127001;14917;3,089810531;;;
IFI44;4120000;487106;3,080336678;;;
AL121845.3;14552;1721;3,079898446;;;
ALOX15;116418;13770;3,079713674;;;
ASPRV1;342638;40736;3,072308932;;;
AL513320.1;52917;6311;3,067790745;;;
INKA2;2850000;340802;3,063956212;;;
RAB1AP1;23813;2869;3,053129512;;;
AC055839.1;42334;5164;3,035255905;;;
ITGAD;79376;9754;3,024636985;;;
PI3;406139;49915;3,024428239;;;
MAP1LC3A;195793;24097;3,022403735;;;
AC008676.1;9260;1147;3,013146802;;;
AC015813.5;9260;1147;3,013146802;;;
AC024940.1;9260;1147;3,013146802;;;
AC099791.2;9260;1147;3,013146802;;;
AL157871.5;9260;1147;3,013146802;;;
COX6CP1;9260;1147;3,013146802;;;
DPY19L2P3;9260;1147;3,013146802;;;
FOXC1;9260;1147;3,013146802;;;
LINC02701;9260;1147;3,013146802;;;
MAP3K4-AS1;9260;1147;3,013146802;;;
MIR3174;9260;1147;3,013146802;;;
PIK3CD-AS2;9260;1147;3,013146802;;;
PTGES2-AS1;9260;1147;3,013146802;;;
RN7SL648P;9260;1147;3,013146802;;;
RNU6-2;9260;1147;3,013146802;;;
TRAJ24;9260;1147;3,013146802;;;
AC099811.1;27781;3442;3,012779529;;;
PPP1R3B;46302;5737;3,012706088;;;
A3GALT2;18521;2295;3,012595937;;;
AC010491.1;18521;2295;3,012595937;;;
AC068946.1;18521;2295;3,012595937;;;
AC103996.2;18521;2295;3,012595937;;;
CNTNAP3;166689;20655;3,012595937;;;
PNMA6A;18521;2295;3,012595937;;;
RPS12P26;18521;2295;3,012595937;;;
TRPM6;591348;73439;3,009389067;;;
AC007342.4;161397;20081;3,006710742;;;
CMPK2;1880000;234660;3,002088815;;;
GRAMD1C;156105;19507;3,00045292;;;
AL138778.1;31750;4016;2,982925417;;;
GLDC;54240;6885;2,977828619;;;
KIF19;76730;9754;2,975724877;;;
LINC01506;268554;34424;2,963725559;;;
ST6GALNAC1;129647;16638;2,962034896;;;
IFIT5;1910000;246135;2,956050912;;;
MAP1LC3B2;62178;8032;2,952573038;;;
HBA1;18400000;2380000;2,950672288;;;
CLCN1;26459;3442;2,942439534;;;
GGT5;26459;3442;2,942439534;;;
AC005730.3;13229;1721;2,942385008;;;
AC253572.1;13229;1721;2,942385008;;;
OLFM5P;13229;1721;2,942385008;;;
RPSAP47;13229;1721;2,942385008;;;
TRAJ17;13229;1721;2,942385008;;;
MIR6753;39688;5164;2,942141957;;;
NTNG2;2220000;296051;2,906642045;;;
AC005050.3;17198;2295;2,905674741;;;
AC087284.1;17198;2295;2,905674741;;;
AC100778.2;17198;2295;2,905674741;;;
AP002907.1;51594;6885;2,905674741;;;
HSPA6;4050000;540464;2,905651479;;;
FPR2;3470000;467025;2,893363978;;;
TUBBP5;21167;2869;2,883196937;;;
ALPK2;25136;3442;2,868436083;;;
AC105339.2;50271;6885;2,868197828;;;
RERE-AS1;162720;22376;2,86236752;;;
IGLV2-14;1820000;250725;2,85976069;;;
RAPGEF3;58209;8032;2,857411059;;;
AC018926.3;29104;4016;2,857386274;;;
AC104463.2;29104;4016;2,857386274;;;
NAP1L4P1;29104;4016;2,857386274;;;
