GeneID;log2 FC;Grupo
AC021106.1;2,101401716;Sangue
SCAT8;2,101401716;Sangue
ZDHHC18;2,10021603;Sangue
OAS1;2,099217163;Sangue
AC051619.5;2,098409626;Sangue
C11orf98;2,098409626;Sangue
MPZ;2,098356745;Sangue
CHKB-CPT1B;2,09361172;Sangue
CARD17;2,092755759;Sangue
H1-2;2,089225962;Sangue
TREM1;2,087199163;Sangue
AC115284.4;2,079898446;Sangue
AL158212.5;2,079898446;Sangue
HASPIN;2,079898446;Sangue
PCDHGB6;2,079898446;Sangue
RPSAP19;2,079898446;Sangue
SLC25A10;2,079898446;Sangue
DRAIC;2,079791784;Sangue
LINC02631;2,079791784;Sangue
AC006001.2;2,079713674;Sangue
AL627309.5;2,079705412;Sangue
TNFSF14;2,079058871;Sangue
AC183084.1;2,074023814;Sangue
C7orf61;2,067818008;Sangue
P2RY13;2,065588342;Sangue
ANTXRLP1;2,063224696;Sangue
DOCK5;2,061927749;Sangue
EIF2AK2;2,060782056;Sangue
AP000944.7;2,053276945;Sangue
AC005562.1;2,053068926;Sangue
AC005696.3;2,053068926;Sangue
SNORD17;2,053068926;Sangue
TMEM269;2,053068926;Sangue
AC132938.5;2,050288835;Sangue
SERPING1;2,049309569;Sangue
AC020656.2;2,04654508;Sangue
QPCT;2,045453486;Sangue
PILRB;2,044942379;Sangue
AC012368.1;2,034411749;Sangue
AP000873.1;2,03242328;Sangue
SOD2;2,030411313;Sangue
TREML2;2,024309573;Sangue
TAP2;2,023042347;Sangue
EGLN1;2,022396235;Sangue
RPSAP58;2,02113685;Sangue
NFE2L3;2,016642471;Sangue
AL132780.5;2,012595937;Sangue
CD80;2,012595937;Sangue
H4-16;2,012595937;Sangue
PGM5;2,012595937;Sangue
TNFSF15;2,012595937;Sangue
MIR4489;2,012569972;Sangue
AC007546.3;2,01251804;Sangue
AC007610.4;2,01251804;Sangue
AC015911.4;2,01251804;Sangue
AC016027.1;2,01251804;Sangue
AC026341.1;2,01251804;Sangue
AC046143.2;2,01251804;Sangue
AC113404.1;2,01251804;Sangue
AC116407.1;2,01251804;Sangue
AC133550.3;2,01251804;Sangue
AL031123.5;2,01251804;Sangue
AL139289.1;2,01251804;Sangue
AL158166.1;2,01251804;Sangue
DYNC1I2P1;2,01251804;Sangue
FAM171A2;2,01251804;Sangue
FGF22;2,01251804;Sangue
LINC00880;2,01251804;Sangue
LINC01907;2,01251804;Sangue
LINC02352;2,01251804;Sangue
LINC02766;2,01251804;Sangue
LRRIQ3;2,01251804;Sangue
MANEA-DT;2,01251804;Sangue
OTUD7A;2,01251804;Sangue
PARVA;2,01251804;Sangue
SDHDP6;2,01251804;Sangue
TNRC18P1;2,01251804;Sangue
TRAJ19;2,01251804;Sangue
TUB;2,01251804;Sangue
ZBTB20-AS1;2,01251804;Sangue
IL10RB;2,005238458;Sangue
CCR1;2,003216713;Sangue
CCR3;2,000598092;Sangue
ATP6V0C;1,998826055;Sangue
SPOUT1;1,998826055;Sangue
IGFBP4;1,997798132;Sangue
EPHB1;1,997326868;Sangue
GCA;1,994026099;Sangue
IGLJ2;1,993814557;Sangue
AC008610.1;1,993785859;Sangue
AC067852.3;1,989589711;Sangue
NCF1;1,987616276;Sangue
DDO;1,982925417;Sangue
ST3GAL5-AS1;1,982925417;Sangue
U73169.1;1,982925417;Sangue
SLC4A1;1,979703749;Sangue
TPTEP2;1,979381658;Sangue
AL732372.2;1,978129797;Sangue
CEP170B;1,976639104;Sangue
ABCC6;1,970915238;Sangue
AC008079.1;1,970915238;Sangue
AC048341.2;1,970915238;Sangue
PDLIM1P4;1,970915238;Sangue
TIMM23B-AGAP6;1,970915238;Sangue
AC116407.2;1,970810034;Sangue
LPAR2;1,964317904;Sangue
UBQLNL;1,964163316;Sangue
BHLHA15;1,962701744;Sangue
MEF2C-AS1;1,955309384;Sangue
LY96;1,954967996;Sangue
SLC19A1;1,947817651;Sangue
AC004817.5;1,942494059;Sangue
AC006511.5;1,942494059;Sangue
AC027307.3;1,942494059;Sangue
AC241377.3;1,942494059;Sangue
AL138963.1;1,942494059;Sangue
AL645608.7;1,942494059;Sangue
PPIAP4;1,942494059;Sangue
PRRT3-AS1;1,942494059;Sangue
TRAJ9;1,942494059;Sangue
ZDHHC20-IT1;1,942494059;Sangue
ZNF793-AS1;1,942494059;Sangue
AC006230.1;1,942385008;Sangue
FLJ42393;1,942385008;Sangue
RGPD1;1,942385008;Sangue
RTN4RL1;1,942385008;Sangue
NOXRED1;1,942281651;Sangue
AC138035.1;1,942253711;Sangue
PPIAP29;1,942229977;Sangue
AC132872.5;1,942211802;Sangue
SMIM1;1,942161096;Sangue
ANO7L1;1,942141957;Sangue
HELZ2;1,94016675;Sangue
PDLIM7;1,933308635;Sangue
PGLYRP1;1,93273105;Sangue
FAM174A;1,931687371;Sangue
AC132192.2;1,93111622;Sangue
MADCAM1;1,929625705;Sangue
CASS4;1,928170992;Sangue
IATPR;1,927718842;Sangue
AP000926.2;1,921520922;Sangue
GPLD1;1,921520922;Sangue
ZNF117;1,920557856;Sangue
AL391832.2;1,920302325;Sangue
ABHD5;1,919677025;Sangue
TMEM45B;1,918960075;Sangue
AC022306.2;1,915808857;Sangue
AC040160.2;1,915808857;Sangue
AL137003.1;1,915788662;Sangue
LITAF;1,915503726;Sangue
AP001453.3;1,905674741;Sangue
FLOT1;1,905674741;Sangue
SPATA1;1,905674741;Sangue
SLC2A3;1,90560763;Sangue
TECPR2;1,904444819;Sangue
TMEM71;1,904115119;Sangue
CCDC153;1,902734408;Sangue
TRIM25;1,900762127;Sangue
SUPT4H1;1,898584852;Sangue
PPCDC;1,896754678;Sangue
DSC2;1,895410543;Sangue
TRIM9;1,893369544;Sangue
MCTP2;1,89178443;Sangue
AC009318.1;1,890378104;Sangue
MSRB1;1,890375509;Sangue
AC022762.2;1,889744382;Sangue
IGKV1D-16;1,883448387;Sangue
AC010623.1;1,883128778;Sangue
AC100827.2;1,883128778;Sangue
AL513314.2;1,883128778;Sangue
TMIGD3;1,883128778;Sangue
TSFM;1,883128778;Sangue
PEAK3;1,881514165;Sangue
ARRDC3;1,88020397;Sangue
NCF1B;1,87878562;Sangue
NADK;1,874002302;Sangue
CCR6;1,872625813;Sangue
DKK3;1,868226526;Sangue
FAM209B;1,868226526;Sangue
ZNF442;1,868226526;Sangue
CHRNE;1,861763244;Sangue
DYSF;1,857980995;Sangue
AC145423.2;1,857386274;Sangue
TMCO1-AS1;1,857386274;Sangue
ATG16L2;1,856859718;Sangue
PRRG4;1,856743186;Sangue
TP53INP2;1,856465416;Sangue
HLA-C;1,856164227;Sangue
GATA1;1,853822301;Sangue
NQO2;1,851401648;Sangue
CXCL10;1,849138052;Sangue
PARP9;1,848520666;Sangue
MIR4477B;1,842694218;Sangue
AL139020.1;1,842670936;Sangue
STAG3L5P-PVRIG2P-PILRB;1,84260109;Sangue
NIBAN1;1,842260537;Sangue
VMP1;1,840877495;Sangue
CD274;1,83914381;Sangue
LRRN1;1,833343133;Sangue
AC007342.9;1,833269947;Sangue
B3GNT8;1,833055498;Sangue
MPZL1;1,83286505;Sangue
USP18;1,831790992;Sangue
AC099524.1;1,82973609;Sangue
HELB;1,826749956;Sangue
IL27;1,826704405;Sangue
TMEM88;1,823007251;Sangue
AP002954.1;1,821937351;Sangue
IL1RAP;1,819680551;Sangue
RNF149;1,818974005;Sangue
ENTPD1;1,816514354;Sangue
SEC14L1;1,81310043;Sangue
DLEU2;1,81070611;Sangue
KIF27;1,810538509;Sangue
TTC26;1,809329284;Sangue
GSEC;1,806716856;Sangue
IGLV8-61;1,805192344;Sangue
DNAJC3-DT;1,804750887;Sangue
AC090181.1;1,803892004;Sangue
AL627309.7;1,799397528;Sangue
ELAPOR1;1,799270186;Sangue
DDX58;1,798788441;Sangue
TM6SF1;1,793491554;Sangue
GALNT3;1,792421906;Sangue
AC020931.1;1,790910171;Sangue
AC064847.1;1,790910171;Sangue
AC092535.2;1,790910171;Sangue
AC098484.4;1,790910171;Sangue
AC105036.3;1,790910171;Sangue
AC108488.2;1,790910171;Sangue
AC112907.3;1,790910171;Sangue
AC124283.3;1,790910171;Sangue
AC137630.2;1,790910171;Sangue
ACKR4;1,790910171;Sangue
AL031846.2;1,790910171;Sangue
AL121583.1;1,790910171;Sangue
AL161729.4;1,790910171;Sangue
AL359881.1;1,790910171;Sangue
AL450384.1;1,790910171;Sangue
AP000446.1;1,790910171;Sangue
AP000692.2;1,790910171;Sangue
C15orf48;1,790910171;Sangue
C20orf203;1,790910171;Sangue
EEF1DP7;1,790910171;Sangue
FAM166B;1,790910171;Sangue
FAR2P2;1,790910171;Sangue
FERMT2;1,790910171;Sangue
GAPDHP63;1,790910171;Sangue
GDF10;1,790910171;Sangue
GTF2IRD2P1;1,790910171;Sangue
H4C14;1,790910171;Sangue
HERC2P10;1,790910171;Sangue
HHIP-AS1;1,790910171;Sangue
HLA-DPA1;1,790910171;Sangue
IGLC5;1,790910171;Sangue
IL17C;1,790910171;Sangue
KHDRBS3;1,790910171;Sangue
KLHL30;1,790910171;Sangue
LINC01229;1,790910171;Sangue
LINC01750;1,790910171;Sangue
MIR4645;1,790910171;Sangue
MRPL37P1;1,790910171;Sangue
PCNPP1;1,790910171;Sangue
PRKCG;1,790910171;Sangue
PSD2;1,790910171;Sangue
RBMS1P1;1,790910171;Sangue
RCVRN;1,790910171;Sangue
RN7SL3;1,790910171;Sangue
RN7SL336P;1,790910171;Sangue
RPL29P14;1,790910171;Sangue
SLC34A1;1,790910171;Sangue
ZBTB8A;1,790910171;Sangue
AC016405.1;1,790369797;Sangue
AC087741.3;1,790369797;Sangue
AL390208.1;1,790369797;Sangue
CDRT4;1,790369797;Sangue
KLF7-IT1;1,790369797;Sangue
NLRP9P1;1,790369797;Sangue
RALGPS2-AS1;1,790369797;Sangue
SCUBE2;1,790369797;Sangue
SLC12A8;1,790369797;Sangue
SLED1;1,790369797;Sangue
LINC02285;1,790334439;Sangue
AC004982.1;1,790281409;Sangue
AC005046.1;1,790281409;Sangue
AC005264.1;1,790281409;Sangue
AC009041.3;1,790281409;Sangue
AC090772.3;1,790281409;Sangue
AC091196.1;1,790281409;Sangue
AL033543.1;1,790281409;Sangue
AL354696.2;1,790281409;Sangue
AL355303.2;1,790281409;Sangue
AP003419.3;1,790281409;Sangue
CCND2-AS1;1,790281409;Sangue
CNNM1;1,790281409;Sangue
ESCO2;1,790281409;Sangue
FLJ46284;1,790281409;Sangue
GNAS-AS1;1,790281409;Sangue
H2BC17;1,790281409;Sangue
KRT81;1,790281409;Sangue
LINC01031;1,790281409;Sangue
LINC01132;1,790281409;Sangue
LINC01187;1,790281409;Sangue
LINC01513;1,790281409;Sangue
OSCP1;1,790281409;Sangue
PBK;1,790281409;Sangue
PPP5D1;1,790281409;Sangue
SLC14A2;1,790281409;Sangue
SLC16A14;1,790281409;Sangue
SUMO2P17;1,790281409;Sangue
SYCE2;1,790281409;Sangue
TMPRSS9;1,790281409;Sangue
LINC00115;1,79027048;Sangue
SPDYE18;1,79027048;Sangue
AC138150.2;1,790232857;Sangue
AC005332.7;1,790220826;Sangue
AC034236.2;1,790220826;Sangue
AC024257.3;1,790203516;Sangue
AL359762.3;1,790198795;Sangue
AL035661.1;1,790190533;Sangue
TNFSF10;1,789054105;Sangue
TLR6;1,78568293;Sangue
RILPL1;1,783971049;Sangue
TENT5C;1,782420656;Sangue
SAMD9L;1,780321963;Sangue
AC015871.3;1,779067427;Sangue
IFNG-AS1;1,777196917;Sangue
MPZL3;1,776830838;Sangue
AC068205.2;1,773591618;Sangue
BRCA1;1,770860178;Sangue
AL390879.1;1,77080252;Sangue
TMPRSS3;1,76595993;Sangue
IGLV3-21;1,763755089;Sangue
GBP5;1,762894059;Sangue
GBP1;1,76213617;Sangue
NCF1C;1,76213617;Sangue
AC092384.3;1,757802703;Sangue
DDX60L;1,757298596;Sangue
KCNQ1OT1;1,755436198;Sangue
LINC02656;1,752768967;Sangue
AC009093.8;1,752700954;Sangue
AOAH-IT1;1,752700954;Sangue
ZNF267;1,752140041;Sangue
PLXNC1;1,751320887;Sangue
NLGN3;1,751018948;Sangue
TSPAN2;1,748248937;Sangue
ANKRD34B;1,745876282;Sangue
LILRB3;1,745700497;Sangue
IKBIP;1,744061704;Sangue
LRFN1;1,742014872;Sangue
CEP63;1,741452112;Sangue
CLEC9A;1,741296601;Sangue
AC015911.7;1,740034567;Sangue
CTBS;1,739597265;Sangue
ST6GALNAC6;1,735819589;Sangue
IRAG1;1,735163649;Sangue
LIN7A;1,735150595;Sangue
DDX60;1,734003098;Sangue
KDM6B;1,732661792;Sangue
SH3D21;1,730589945;Sangue
PLB1;1,729135551;Sangue
AL158071.2;1,728786037;Sangue
TMEM191C;1,728786037;Sangue
MYOM1;1,727209837;Sangue
RTP4;1,725732284;Sangue
CLEC4D;1,720496397;Sangue
AC015799.1;1,719927363;Sangue
CNN2P9;1,719927363;Sangue
RPL10P19;1,719872836;Sangue
AC080112.4;1,719789447;Sangue
NFIL3;1,719272398;Sangue
IFITM1;1,716927841;Sangue
ARG1;1,716751241;Sangue
PARP14;1,713353037;Sangue
AC022167.1;1,712231205;Sangue
SLIT1;1,712231205;Sangue
LRWD1;1,710696512;Sangue
NPL;1,709848998;Sangue
NRBF2;1,706750151;Sangue
TSTD3;1,705718689;Sangue
MOSPD2;1,699856747;Sangue
TCN1;1,696498328;Sangue
SLC6A6;1,693896872;Sangue
WDFY3;1,691704291;Sangue
H2BC7;1,690793573;Sangue
PDCD1LG2;1,690793573;Sangue
AC009951.4;1,690709751;Sangue
SENCR;1,690674675;Sangue
CPT1B;1,690667842;Sangue
AP000977.1;1,690627118;Sangue
AC122718.1;1,690464225;Sangue
DTX2P1;1,690464225;Sangue
PCBP2-OT1;1,690464225;Sangue
OAS2;1,689196554;Sangue
TXNDC5;1,680595724;Sangue
FAM21FP;1,679232705;Sangue
LINC00189;1,679232705;Sangue
MIRLET7BHG;1,67918555;Sangue
SRXN1;1,672412291;Sangue
UBR5-AS1;1,670691857;Sangue
CHMP5;1,669575724;Sangue
AC008033.3;1,666852017;Sangue
IGLV2-18;1,664684436;Sangue
AC073343.1;1,664651389;Sangue
AC090114.3;1,664651389;Sangue
AL731559.1;1,664651389;Sangue
GTF2H2C;1,664651389;Sangue
H2AZ2P1;1,664651389;Sangue
HESX1;1,664651389;Sangue
MIR5587;1,664651389;Sangue
SOBP;1,664651389;Sangue
LINC01409;1,659819635;Sangue
AFDN;1,658425901;Sangue
IFIH1;1,655531521;Sangue
GPSM2;1,654549513;Sangue
AC011726.2;1,652762334;Sangue
GDF7;1,652762334;Sangue
LAMB3;1,652762334;Sangue
APOL2;1,650841301;Sangue
H2AC6;1,650836054;Sangue
IGSF6;1,650060782;Sangue
KCNE3;1,648465029;Sangue
ITGAX;1,647483585;Sangue
AC009237.14;1,645923911;Sangue
AC025048.2;1,645923911;Sangue
SDC2;1,645923911;Sangue
ZNF80;1,645923911;Sangue
AC010210.1;1,64417355;Sangue
LINC00211;1,643382406;Sangue
IFITM3P2;1,641286218;Sangue
IL18R1;1,638874018;Sangue
AC010894.4;1,638239446;Sangue
EIF4EBP3;1,638197537;Sangue
SAMD9;1,635588574;Sangue
AL135818.1;1,63541971;Sangue
SH3GL1P1;1,633350307;Sangue
TLE3;1,632580521;Sangue
HTATSF1P2;1,632084698;Sangue
AC004069.1;1,630573097;Sangue
FAM71F2;1,628456406;Sangue
ACCS;1,626137877;Sangue
AC015802.7;1,620565964;Sangue
AC061975.8;1,620565964;Sangue
AC242842.1;1,620565964;Sangue
AL121890.4;1,620565964;Sangue
CAMTA1-DT;1,620565964;Sangue
COLCA1;1,620565964;Sangue
EIF4EP2;1,620565964;Sangue
EML4-AS1;1,620565964;Sangue
LINC01393;1,620565964;Sangue
MIR6503;1,620565964;Sangue
PHBP19;1,620565964;Sangue
RN7SL81P;1,620565964;Sangue
AC023830.3;1,620429649;Sangue
AC087289.1;1,620429649;Sangue
ACTA1;1,620429649;Sangue
C9orf163;1,620429649;Sangue
MED14OS;1,620429649;Sangue
METTL21EP;1,620429649;Sangue
MYLPF;1,620429649;Sangue
NBPF19;1,620429649;Sangue
TNFRSF19;1,620429649;Sangue
TRAJ20;1,620429649;Sangue
YY2;1,620429649;Sangue
TRBV5-5;1,620343792;Sangue
WLS;1,620297536;Sangue
MORN3;1,620288814;Sangue
AC012651.1;1,620288251;Sangue
ANAPC1P1;1,620288251;Sangue
BUB1B;1,620288251;Sangue
AC104564.5;1,620265532;Sangue
SRGN;1,615659298;Sangue
FAM126B;1,615514139;Sangue
NEFL;1,614061156;Sangue
PISD;1,606657572;Sangue
CCPG1;1,605251913;Sangue
PTEN;1,601204335;Sangue
PELI1;1,600155506;Sangue
DDIT3;1,59852571;Sangue
ZNF137P;1,598391338;Sangue
ARL11;1,598063249;Sangue
PPFIA4;1,597549783;Sangue
GPX3;1,597532472;Sangue
LRTOMT;1,597532472;Sangue
HERC6;1,596929289;Sangue
XPO6;1,595850817;Sangue
ZMYND15;1,595225028;Sangue
TNFRSF17;1,593540706;Sangue
ANGPT1;1,592326241;Sangue
TRGV8;1,592326241;Sangue
AC233755.2;1,592229529;Sangue
ATXN1-AS1;1,592229529;Sangue
LINC01094;1,589913152;Sangue
SULT1B1;1,587488135;Sangue
AC108134.3;1,584671721;Sangue
JAML;1,584291636;Sangue
AC027607.1;1,583872377;Sangue
FAM86HP;1,583872377;Sangue
LINC01366;1,583872377;Sangue
SUCNR1;1,583872377;Sangue
TRAJ45;1,583872377;Sangue
THBD;1,58245571;Sangue
RAB33B-AS1;1,580318797;Sangue
CC2D2B;1,579644233;Sangue
CHRNA10;1,578700777;Sangue
PIP4P2;1,578508808;Sangue
PKN2;1,576320616;Sangue
NDC80;1,57610558;Sangue
SELL;1,572684171;Sangue
ELL;1,571777476;Sangue
AC234301.1;1,571413509;Sangue
AC022400.4;1,567778275;Sangue
OR2W3;1,56279112;Sangue
AC004585.1;1,561402668;Sangue
ICAM3;1,559958495;Sangue
RBM14-RBM4;1,558930885;Sangue
SLCO4C1;1,558539725;Sangue
TOPORS;1,555862861;Sangue
C3orf20;1,553221467;Sangue
DES;1,553221467;Sangue
NMI;1,552706047;Sangue
NINJ1;1,552541023;Sangue
CLEC4E;1,551998696;Sangue
CFLAR;1,551610552;Sangue
CHST15;1,550869302;Sangue
JCHAIN;1,550474124;Sangue
LRRC6;1,549212322;Sangue
LST1;1,548407173;Sangue
EVI2B;1,548333579;Sangue
AC092279.1;1,547364766;Sangue
FOLR3;1,547297393;Sangue
IRAG2;1,546743178;Sangue
NDEL1;1,545493806;Sangue
PLSCR1;1,545430209;Sangue
TRANK1;1,545278799;Sangue
MYO1F;1,544698631;Sangue
WWC3;1,543573998;Sangue
AC010680.2;1,543139586;Sangue
IGLV2-11;1,542296437;Sangue
AL008729.1;1,542296106;Sangue
FNIP1;1,54218916;Sangue
PTAFR;1,53900521;Sangue
AC064805.2;1,53646121;Sangue
SIRPB1;1,532495081;Sangue
NCF2;1,530903374;Sangue
ZKSCAN2-DT;1,530825631;Sangue
SLC16A3;1,530514717;Sangue
TP53INP1;1,52985504;Sangue
AC012557.2;1,527247003;Sangue
AC074212.1;1,527247003;Sangue
AC092535.5;1,527247003;Sangue
AC108066.2;1,527247003;Sangue
AC127070.1;1,527247003;Sangue
AL031708.1;1,527247003;Sangue
AL358933.1;1,527247003;Sangue
AP000845.1;1,527247003;Sangue
ATP2A1-AS1;1,527247003;Sangue
BORCS8-MEF2B;1,527247003;Sangue
CRPPA;1,527247003;Sangue
EEF1A1P30;1,527247003;Sangue
GRHL1;1,527247003;Sangue
NUTM2B;1,527247003;Sangue
PLAAT5;1,527247003;Sangue
PRDM16;1,527247003;Sangue
RAB25;1,527247003;Sangue
RAI14;1,527247003;Sangue
RAPGEF5;1,527247003;Sangue
RPS20P33;1,527247003;Sangue
SATB2-AS1;1,527247003;Sangue
TRAJ10;1,527247003;Sangue
TRAJ12;1,527247003;Sangue
VDAC2P2;1,527247003;Sangue
WNT11;1,527247003;Sangue
Z95115.2;1,527247003;Sangue
ZNF230;1,527191408;Sangue
P2RY14;1,527185952;Sangue
AC092139.2;1,527174303;Sangue
CACNG8;1,527174303;Sangue
LILRA3;1,527174303;Sangue
ZNF396;1,527165215;Sangue
MAPK8IP2;1,527137951;Sangue
RIPK4;1,527137951;Sangue
VN1R83P;1,527137951;Sangue
PHC2;1,526209913;Sangue
CIR1;1,524137586;Sangue
GLT1D1;1,521784697;Sangue
RASGRP4;1,521726699;Sangue
ST8SIA4;1,52095175;Sangue
TLR1;1,51689529;Sangue
NFAM1;1,51630614;Sangue
XKR8;1,515688965;Sangue
S100A9;1,514836414;Sangue
LINC00482;1,514597771;Sangue
LRP10;1,514573173;Sangue
SCARNA21;1,510032654;Sangue
AGRN;1,509653429;Sangue
CRISPLD2;1,508745479;Sangue
MPPE1;1,508228799;Sangue
AC010680.3;1,507835168;Sangue
IRF1-AS1;1,507079765;Sangue
GAB2;1,50589093;Sangue
SRGAP2B;1,504793994;Sangue
UBN1;1,503138278;Sangue
NFE2;1,501706997;Sangue
CD46;1,501278753;Sangue
KRT8P46;1,500751162;Sangue
RPL17;1,49954012;Sangue
IL17RE;1,498984297;Sangue
RTN2;1,498698524;Sangue
ADAM8;1,496735318;Sangue
MINDY1;1,496589207;Sangue
TMCC1;1,495237756;Sangue
ACOX1;1,494936107;Sangue
AC118344.1;1,494796237;Sangue
AL359532.1;1,494796237;Sangue
TGM2;1,494766194;Sangue
AC063977.1;1,494656542;Sangue
ADD3-AS1;1,494656542;Sangue
WDFY3-AS2;1,494656542;Sangue
SP110;1,49134945;Sangue
R3HDM4;1,489384841;Sangue
ATP9A;1,489061313;Sangue
DUSP18;1,487126526;Sangue
AC010536.2;1,485452487;Sangue
AC017104.1;1,485452487;Sangue
IL10;1,485452487;Sangue
PINK1;1,484929643;Sangue
KMT2E-AS1;1,484219354;Sangue
ZNF200;1,482161196;Sangue
ITGB4;1,480915317;Sangue
Z92544.1;1,48089161;Sangue
ZNF486;1,480501443;Sangue
TNFRSF12A;1,478262195;Sangue
C5AR1;1,477773255;Sangue
SELENBP1;1,47706175;Sangue
RPL41P1;1,474440452;Sangue
GPR25;1,473725442;Sangue
FAM53C;1,47338191;Sangue
AC004494.2;1,468388169;Sangue
AC018809.1;1,468388169;Sangue
AC093583.1;1,468388169;Sangue
BACH1-IT2;1,468388169;Sangue
LRRC32;1,468388169;Sangue
MYO3B;1,468388169;Sangue
TRAJ4;1,46833464;Sangue
PIK3CD-AS1;1,468304347;Sangue
B3GALT2;1,468262438;Sangue
OTOF;1,468262438;Sangue
AC104232.1;1,468227594;Sangue
AC114763.1;1,468227594;Sangue
HMGN1P1;1,468227594;Sangue
LINC01473;1,468227594;Sangue
RNVU1-4;1,468227594;Sangue
RNASEL;1,466881803;Sangue
SLC11A1;1,466085105;Sangue
KCNE1;1,464641763;Sangue
CCDC17;1,464354884;Sangue
C3orf62;1,463112938;Sangue
PLGLB1;1,46158258;Sangue
LETM2;1,460078295;Sangue
AL121832.3;1,459053502;Sangue
COG5;1,459053502;Sangue
ABCG1;1,458572707;Sangue
DPEP2;1,458050388;Sangue
AC006330.1;1,4567405;Sangue
LINC01410;1,455841216;Sangue
WWC1;1,453189027;Sangue
YPEL3;1,452512205;Sangue
GATAD2B;1,450386532;Sangue
RELL1;1,450198943;Sangue
U91328.1;1,44919276;Sangue
TASL;1,448906194;Sangue
CSF1;1,448377766;Sangue
RAB11FIP1;1,447925793;Sangue
TMEM121B;1,4477568;Sangue
AC111170.2;1,446300271;Sangue
AF165147.1;1,446300271;Sangue
AP000757.1;1,446300271;Sangue
ELOVL4;1,446300271;Sangue
IL7;1,446300271;Sangue
RASSF6;1,446300271;Sangue
AC107375.1;1,446243123;Sangue
RRAGD;1,44579935;Sangue
PFKFB4;1,443930596;Sangue
AC009506.1;1,441144516;Sangue
CASTOR3;1,43935149;Sangue
LAMP2;1,438967516;Sangue
NUAK2;1,438180123;Sangue
TOMM20P2;1,437910058;Sangue
DHDDS-AS1;1,434801639;Sangue
DOK4;1,434742247;Sangue
SVIL;1,43409868;Sangue
CCDC163;1,432023836;Sangue
TMEM273;1,430397482;Sangue
AC004908.2;1,427765096;Sangue
AC245060.4;1,427765096;Sangue
AL078600.1;1,427765096;Sangue
AL136531.1;1,427765096;Sangue
BMP2;1,427765096;Sangue
CAP1P2;1,427765096;Sangue
CRACD;1,427765096;Sangue
DAB1;1,427765096;Sangue
ENPP1;1,427765096;Sangue
FSCN2;1,427765096;Sangue
IL6;1,427765096;Sangue
JAM2;1,427765096;Sangue
LRGUK;1,427765096;Sangue
MIR6819;1,427765096;Sangue
RBMS3;1,427765096;Sangue
RCN1P2;1,427765096;Sangue
RNU6-226P;1,427765096;Sangue
RPL21P44;1,427765096;Sangue
SNORD99;1,427765096;Sangue
WNK2;1,427765096;Sangue
HMMR;1,42767732;Sangue
FBLN5;1,427640365;Sangue
AC008895.1;1,427633436;Sangue
KLHDC7B-DT;1,427633436;Sangue
LINC01134;1,427633436;Sangue
PBX2;1,427633436;Sangue
OMG;1,420977002;Sangue
WBP2NL;1,420977002;Sangue
H3-3A;1,419654127;Sangue
SORL1;1,419050562;Sangue
AC004687.1;1,417453235;Sangue
FRAT1;1,415796682;Sangue
PPP1R3D;1,41277559;Sangue
AC135050.5;1,411745442;Sangue
AC002091.1;1,411713204;Sangue
HBD;1,411701087;Sangue
FAS;1,408044769;Sangue
RICTOR;1,406042793;Sangue
CLSPN;1,403211379;Sangue
MAPK13;1,401900044;Sangue
S100A8;1,401740677;Sangue
FANCA;1,39976278;Sangue
PCDHGA6;1,397985636;Sangue
SNHG21;1,397985636;Sangue
AC005391.1;1,397917477;Sangue
AC080013.1;1,397917477;Sangue
AL049779.4;1,397917477;Sangue
SCYL2P1;1,397917477;Sangue
ZNF564;1,397917477;Sangue
B3GNT9;1,397898922;Sangue
AC245060.5;1,39789583;Sangue
RAB24;1,395298543;Sangue
LINC00528;1,394297525;Sangue
CAMP;1,394296568;Sangue
LILRB2;1,394180704;Sangue
CDKN2A;1,393689596;Sangue
JMJD1C;1,393342428;Sangue
ZFYVE16;1,392075716;Sangue
MZB1;1,391884298;Sangue
TBKBP1;1,390756898;Sangue
TOB1-AS1;1,389713388;Sangue
DGLUCY;1,388565288;Sangue
RASSF2;1,388161793;Sangue
TNFSF13B;1,387713349;Sangue
MEFV;1,387023123;Sangue
AC020978.9;1,385868916;Sangue
NUGGC;1,384594611;Sangue
B4GALT5;1,382869773;Sangue
PDK4;1,381005105;Sangue
PYGL;1,379236778;Sangue
AC245060.7;1,375183326;Sangue
AL158071.3;1,375183326;Sangue
MUC20P1;1,375183326;Sangue
PLEK2;1,375183326;Sangue
SENP8;1,375183326;Sangue
AC073548.1;1,375180867;Sangue
DOCK8-AS1;1,375171209;Sangue
SYNM;1,375163131;Sangue
ZNF572;1,375163131;Sangue
AC005837.1;1,375122741;Sangue
AC021739.2;1,375122741;Sangue
AC068580.4;1,375122741;Sangue
AC079305.2;1,375122741;Sangue
AC106782.5;1,375122741;Sangue
AKR1D1P1;1,375122741;Sangue
DNAI4;1,375122741;Sangue
KIF4A;1,375122741;Sangue
RNA5SP242;1,375122741;Sangue
SLC22A31;1,375122741;Sangue
TANC1;1,375122741;Sangue
RNF13;1,374621346;Sangue
ITM2B;1,373617572;Sangue
OXER1;1,373529796;Sangue
MARCKS;1,372233177;Sangue
IGLL5;1,371927956;Sangue
AIM2;1,369377788;Sangue
BEGAIN;1,367539064;Sangue
TRIM22;1,366853966;Sangue
LINC01504;1,36673844;Sangue
LINC00921;1,365458067;Sangue
RPL32P3;1,363323876;Sangue
