GeneID;log2 FC;Grupo
AC021087.5;3,453189027;Sangue
CEP295NL;3,453189027;Sangue
IGLV1-51;3,453189027;Sangue
AC016831.1;3,435496664;Sangue
AC004233.2;3,434064898;Sangue
H3-3A-DT;3,427842993;Sangue
HBQ1;3,42033772;Sangue
AC008964.1;3,414683854;Sangue
AOC2;3,412433916;Sangue
NAIP;3,406732223;Sangue
AC004241.1;3,395068775;Sangue
CYP4F12;3,389724293;Sangue
IFI6;3,388304785;Sangue
ACSS3;3,385852879;Sangue
VNN2;3,385121921;Sangue
AC022167.3;3,375751503;Sangue
AC079944.2;3,375751503;Sangue
AC092117.2;3,375751503;Sangue
AC130448.2;3,375751503;Sangue
FFAR3;3,375751503;Sangue
LINC01465;3,375751503;Sangue
ZDHHC15;3,375751503;Sangue
AC024270.4;3,375183326;Sangue
H2BC6;3,375183326;Sangue
CPA5;3,375163131;Sangue
AL353795.3;3,375153034;Sangue
AL391825.1;3,375153034;Sangue
GOLGA5P1;3,375153034;Sangue
MMP25;3,372912024;Sangue
MX1;3,365255527;Sangue
NRIR;3,362794829;Sangue
CLDN9;3,352081147;Sangue
IDO1;3,325029305;Sangue
MTCO3P11;3,320921797;Sangue
KIAA0825;3,312107864;Sangue
AC215522.2;3,292696219;Sangue
HCG27;3,27055323;Sangue
GCM1;3,264334914;Sangue
ST6GALNAC2;3,262587639;Sangue
HECW2;3,25595958;Sangue
NFE4;3,255869774;Sangue
PANX2;3,250439846;Sangue
MXD1;3,239465935;Sangue
ISG15;3,238509181;Sangue
RMRP;3,218060919;Sangue
AC016571.1;3,205811355;Sangue
AC107294.2;3,205811355;Sangue
AC110611.1;3,205811355;Sangue
AC137932.1;3,205811355;Sangue
AL590009.1;3,205811355;Sangue
BLACAT1;3,205811355;Sangue
BLZF2P;3,205811355;Sangue
BX322639.1;3,205811355;Sangue
JARID2-AS1;3,205811355;Sangue
KCNE5;3,205811355;Sangue
LINC02804;3,205811355;Sangue
PAGE2B;3,205811355;Sangue
RN7SL328P;3,205811355;Sangue
RPS2P44;3,205811355;Sangue
SLC22A13;3,205811355;Sangue
AC011445.1;3,205437589;Sangue
ACOXL;3,205437589;Sangue
SCGB3A1;3,205437589;Sangue
OR52K1;3,205362851;Sangue
RPL12P27;3,205250752;Sangue
TRIM6;3,205250752;Sangue
LINC01359;3,205241015;Sangue
IGKV1D-13;3,205239392;Sangue
AL954705.1;3,20469042;Sangue
H3P36;3,20469042;Sangue
HSD17B6;3,20469042;Sangue
RNU4-82P;3,20469042;Sangue
TRAJ35;3,20469042;Sangue
NAMPT;3,199780986;Sangue
EXOC3L1;3,193926315;Sangue
ALPL;3,191423355;Sangue
HCAR3;3,177396696;Sangue
AC104695.2;3,168834878;Sangue
REM2;3,164621274;Sangue
U62317.3;3,162204551;Sangue
GPR27;3,150815765;Sangue
ANXA3;3,14125956;Sangue
CCNJL;3,139179059;Sangue
C3orf86;3,133346391;Sangue
LSMEM1;3,131357965;Sangue
SLC25A37;3,116023796;Sangue
AC099489.2;3,112136804;Sangue
LINC01136;3,112136804;Sangue
RPS3AP18;3,112136804;Sangue
SNORC;3,112136804;Sangue
ADM;3,101685821;Sangue
FAM157B;3,100514304;Sangue
AL162377.3;3,098409626;Sangue
AC099343.2;3,09288149;Sangue
RGL3;3,09288149;Sangue
NECAB2;3,089810531;Sangue
IFI44;3,080336678;Sangue
AL121845.3;3,079898446;Sangue
ALOX15;3,079713674;Sangue
ASPRV1;3,072308932;Sangue
AL513320.1;3,067790745;Sangue
INKA2;3,063956212;Sangue
RAB1AP1;3,053129512;Sangue
AC055839.1;3,035255905;Sangue
ITGAD;3,024636985;Sangue
PI3;3,024428239;Sangue
MAP1LC3A;3,022403735;Sangue
AC008676.1;3,013146802;Sangue
AC015813.5;3,013146802;Sangue
AC024940.1;3,013146802;Sangue
AC099791.2;3,013146802;Sangue
AL157871.5;3,013146802;Sangue
COX6CP1;3,013146802;Sangue
DPY19L2P3;3,013146802;Sangue
FOXC1;3,013146802;Sangue
LINC02701;3,013146802;Sangue
MAP3K4-AS1;3,013146802;Sangue
MIR3174;3,013146802;Sangue
PIK3CD-AS2;3,013146802;Sangue
PTGES2-AS1;3,013146802;Sangue
RN7SL648P;3,013146802;Sangue
RNU6-2;3,013146802;Sangue
TRAJ24;3,013146802;Sangue
AC099811.1;3,012779529;Sangue
PPP1R3B;3,012706088;Sangue
A3GALT2;3,012595937;Sangue
AC010491.1;3,012595937;Sangue
AC068946.1;3,012595937;Sangue
AC103996.2;3,012595937;Sangue
CNTNAP3;3,012595937;Sangue
PNMA6A;3,012595937;Sangue
RPS12P26;3,012595937;Sangue
TRPM6;3,009389067;Sangue
AC007342.4;3,006710742;Sangue
CMPK2;3,002088815;Sangue
GRAMD1C;3,00045292;Sangue
AL138778.1;2,982925417;Sangue
GLDC;2,977828619;Sangue
KIF19;2,975724877;Sangue
LINC01506;2,963725559;Sangue
ST6GALNAC1;2,962034896;Sangue
IFIT5;2,956050912;Sangue
MAP1LC3B2;2,952573038;Sangue
HBA1;2,950672288;Sangue
CLCN1;2,942439534;Sangue
GGT5;2,942439534;Sangue
AC005730.3;2,942385008;Sangue
AC253572.1;2,942385008;Sangue
OLFM5P;2,942385008;Sangue
RPSAP47;2,942385008;Sangue
TRAJ17;2,942385008;Sangue
MIR6753;2,942141957;Sangue
NTNG2;2,906642045;Sangue
AC005050.3;2,905674741;Sangue
AC087284.1;2,905674741;Sangue
AC100778.2;2,905674741;Sangue
AP002907.1;2,905674741;Sangue
HSPA6;2,905651479;Sangue
FPR2;2,893363978;Sangue
TUBBP5;2,883196937;Sangue
ALPK2;2,868436083;Sangue
AC105339.2;2,868197828;Sangue
RERE-AS1;2,86236752;Sangue
IGLV2-14;2,85976069;Sangue
RAPGEF3;2,857411059;Sangue
AC018926.3;2,857386274;Sangue
AC104463.2;2,857386274;Sangue
NAP1L4P1;2,857386274;Sangue
IL1R1;2,854690727;Sangue
AC008764.6;2,852989467;Sangue
LINC01679;2,849087857;Sangue
LINC02363;2,849087857;Sangue
LUNAR1;2,849087857;Sangue
IFITM3;2,846525519;Sangue
ABCA1;2,837699104;Sangue
AL021707.1;2,833327095;Sangue
IFITM2;2,827163403;Sangue
UPB1;2,81674416;Sangue
OR52K3P;2,812244892;Sangue
ADGRE3;2,793532736;Sangue
AC026471.3;2,790910171;Sangue
AC068587.4;2,790910171;Sangue
AC092471.1;2,790910171;Sangue
AC109454.2;2,790910171;Sangue
AC138356.2;2,790910171;Sangue
AC138827.2;2,790910171;Sangue
AL031658.1;2,790910171;Sangue
AL359510.2;2,790910171;Sangue
CAPNS2;2,790910171;Sangue
CD8B2;2,790910171;Sangue
EFNB2;2,790910171;Sangue
FAM172BP;2,790910171;Sangue
FO393400.1;2,790910171;Sangue
HSF2BP;2,790910171;Sangue
LINC01816;2,790910171;Sangue
NKAPL;2,790910171;Sangue
NUTM2HP;2,790910171;Sangue
RN7SKP296;2,790910171;Sangue
SNORD14E;2,790910171;Sangue
USP50;2,790910171;Sangue
AL078604.2;2,790430383;Sangue
AL356356.1;2,790369797;Sangue
RN7SL381P;2,790369797;Sangue
TSSK3;2,790369797;Sangue
BATF2;2,790233185;Sangue
AC006017.1;2,790190533;Sangue
AL359885.1;2,790190533;Sangue
LINC01765;2,790190533;Sangue
RPS15AP10;2,790190533;Sangue
BEAN1-AS1;2,790130785;Sangue
SCARNA9;2,790130785;Sangue
SOCS5P4;2,790082989;Sangue
AC073912.2;2,78965292;Sangue
AP000759.1;2,78965292;Sangue
AP001160.4;2,78965292;Sangue
ATE1-AS1;2,78965292;Sangue
CEMP1;2,78965292;Sangue
CLIC1P1;2,78965292;Sangue
CORIN;2,78965292;Sangue
HLA-DRB3;2,78965292;Sangue
LINC00271;2,78965292;Sangue
MIR6731;2,78965292;Sangue
NPB;2,78965292;Sangue
SCARNA20;2,78965292;Sangue
SETP17;2,78965292;Sangue
SNORA77;2,78965292;Sangue
WFDC3;2,78965292;Sangue
AC083862.2;2,770817257;Sangue
AC107959.3;2,770026731;Sangue
AC007278.2;2,76595993;Sangue
DGAT2;2,762766076;Sangue
HERC2P3;2,759826552;Sangue
CSF3R;2,744161096;Sangue
HORMAD1;2,728809745;Sangue
AL021707.6;2,728799584;Sangue
AC006942.1;2,728786037;Sangue
AL031432.4;2,728786037;Sangue
C10orf105;2,724337788;Sangue
ITGB1P1;2,707964659;Sangue
LIMK2;2,707930145;Sangue
AC007342.3;2,706866462;Sangue
FCHO2;2,706065186;Sangue
CR786580.1;2,690793573;Sangue
AL133517.1;2,690542123;Sangue
APOBEC3A;2,690497817;Sangue
CLEC18A;2,683372126;Sangue
ACSL1;2,682925754;Sangue
MBOAT2;2,682014713;Sangue
ALAS2;2,670283178;Sangue
AC073342.1;2,645923911;Sangue
LINC01191;2,645923911;Sangue
RPL21P123;2,645923911;Sangue
AC007278.1;2,642670723;Sangue
PADI2;2,633039618;Sangue
SLC26A8;2,631507581;Sangue
LINC01270;2,630561496;Sangue
LINC02207;2,629764293;Sangue
AC127070.4;2,628513555;Sangue
LINC01002;2,626163542;Sangue
AC016831.6;2,626103476;Sangue
AC010359.3;2,620497808;Sangue
AL353804.1;2,620497808;Sangue
FBXO39;2,620497808;Sangue
LINC01841;2,620497808;Sangue
PLAAT2;2,620497808;Sangue
SCARNA7;2,620497808;Sangue
AC020661.1;2,620429649;Sangue
AC073195.1;2,620429649;Sangue
DTNB-AS1;2,620429649;Sangue
FOXP1-IT1;2,620429649;Sangue
MIR3609;2,620429649;Sangue
MIR631;2,620429649;Sangue
RNU4-62P;2,620429649;Sangue
AL118508.3;2,620335381;Sangue
ERV3-1;2,614066467;Sangue
AC103858.3;2,611265541;Sangue
FCGR2A;2,605282485;Sangue
AC013394.1;2,603850226;Sangue
SNHG22;2,603850226;Sangue
AC106028.3;2,592229529;Sangue
BCL6;2,587822155;Sangue
AATK;2,577486485;Sangue
F2RL1;2,575559507;Sangue
LINC02158;2,574482363;Sangue
AC025682.1;2,574464774;Sangue
AC108704.2;2,570935356;Sangue
GBP1P1;2,567918211;Sangue
TINCR;2,567918211;Sangue
NABP1;2,566208496;Sangue
MX2;2,565694167;Sangue
OAS3;2,56175511;Sangue
ST20;2,555459896;Sangue
TMCC3;2,552851879;Sangue
STX3;2,552226324;Sangue
IL1RN;2,549899486;Sangue
EPB42;2,549239052;Sangue
LINC01127;2,547286364;Sangue
LAMP3;2,541526717;Sangue
CASP1P2;2,540809703;Sangue
CASP5;2,533609479;Sangue
TMEM140;2,528983525;Sangue
AC007773.1;2,527875765;Sangue
AC009065.8;2,527875765;Sangue
AC009090.4;2,527875765;Sangue
AC009228.1;2,527875765;Sangue
AC011444.1;2,527875765;Sangue
AC012511.1;2,527875765;Sangue
AC016596.2;2,527875765;Sangue
AC022113.1;2,527875765;Sangue
AC025162.2;2,527875765;Sangue
