ensembl_gene_id,Log2 RPKM mean_Female,Log2 RPKM mean_Male
ENSG00000251348,"0,531416583210262",
ENSG00000164403,"0,528920671151071",
ENSG00000202515,"0,654578624425379",
ENSG00000113205,"0,571261374527026",
ENSG00000113211,"0,650195170528483",
ENSG00000113212,"0,544485999841294",
ENSG00000196963,"0,505165972335328",
ENSG00000146001,"0,583009640968427",
ENSG00000262096,"0,539622682312906",
ENSG00000253846,"0,500844237628007",
ENSG00000253159,"0,562898134851518",
ENSG00000253023,"0,757483392784143",
ENSG00000250972,"0,584139222826579",
ENSG00000186314,"0,755032741689236",
ENSG00000204909,"0,684916316365411",
ENSG00000254187,"0,585047070882927",
ENSG00000248859,"0,587864209900554",
ENSG00000027847,"0,518069011551506",
ENSG00000249109,"0,546323472082403",
ENSG00000261526,"0,502407214712989",
ENSG00000202357,"0,832966103054187",
ENSG00000207613,"0,624773362944764",
ENSG00000243745,"0,721001797119022",
ENSG00000239844,"0,827201841983311",
ENSG00000123810,"0,523873323317928",
ENSG00000187244,"0,537369522875989",
ENSG00000011478,"0,526138951276192",
ENSG00000211580,"0,722094308137472",
ENSG00000124440,"0,638112272032724",
ENSG00000134815,"0,548242301982601",
ENSG00000200530,"0,911524896397888",
ENSG00000204673,"0,51540806771407",
ENSG00000213793,"0,508745415150811",
ENSG00000241015,"0,511804461356246",
ENSG00000235326,"0,514209542406398",
ENSG00000225706,"0,526586014041221",
ENSG00000232466,"0,543876285120278",
ENSG00000230453,"0,515248469562533",
ENSG00000234373,"0,619630704432249",
ENSG00000176057,"0,520903287931715",
ENSG00000236816,"0,75226611341075",
ENSG00000231995,"0,608165316978611",
ENSG00000237869,"0,742216414381805",
ENSG00000234665,"0,718529490149533",
ENSG00000227318,"0,675462085726097",
ENSG00000244684,"0,543267950466813",
ENSG00000224825,"0,520199678868738",
ENSG00000229587,"0,517572077991548",
ENSG00000230303,"0,694465114622549",
ENSG00000199165,"0,511804461356246",
ENSG00000236095,"0,555924382385257",
ENSG00000185920,"0,543881747273507",
ENSG00000119508,"0,65869805482922",
ENSG00000230734,"0,522810286197639",
ENSG00000207268,"0,648719998954643",
ENSG00000207991,"0,897198186440836",
ENSG00000222722,"0,655763289104495",
ENSG00000229850,"0,520228223644928",
ENSG00000188483,"0,536119380351111",
ENSG00000126882,"0,583713318354123",
ENSG00000201451,"0,52506912550188",
ENSG00000227898,"0,502736824557726",
ENSG00000230200,"0,532503734130192",
ENSG00000199161,"0,849252279807908",
ENSG00000197355,"0,561267764159497",
ENSG00000238824,"0,595502649713556",
ENSG00000187609,"0,502202757256556",
ENSG00000130653,"0,585320700870482",
ENSG00000196674,"0,598303948449579",
ENSG00000095906,"0,536450539671328",
ENSG00000261140,"0,603629093755721",
ENSG00000242303,"0,558901563316399",
ENSG00000242212,"0,538748955924623",
ENSG00000229917,"0,581329569290522",
ENSG00000260735,"0,515448472855432",
ENSG00000237296,"0,523619207090354",
ENSG00000261329,"0,526095727864826",
ENSG00000183604,"0,662111474111931",
ENSG00000179965,"0,502589914743108",
ENSG00000229809,"0,511376807617899",
ENSG00000260083,"0,531843066752388",
ENSG00000167395,"0,530888382066994",
ENSG00000262766,"0,645830489508972",
ENSG00000102935,"0,519444083635786",
ENSG00000200556,"0,967270594822009",
ENSG00000240645,"0,609489348975302",
ENSG00000261255,"0,616655213402596",
ENSG00000221066,"0,78644681015201",
ENSG00000261701,"0,57742185083318",
ENSG00000261061,"0,53804237318017",
ENSG00000166455,"0,581221533332945",
ENSG00000256982,"0,609627813464733",
ENSG00000234685,"0,505374010450025",
ENSG00000242381,"0,630668381415237",
ENSG00000221670,"0,511804461356246",
ENSG00000235822,"0,59877343259432",
ENSG00000199276,"0,51542066958307",
ENSG00000150893,"0,542748260547691",
ENSG00000230793,"0,585510997131011",
ENSG00000227848,"0,563929384680646",
ENSG00000139780,"0,602232085068337",
ENSG00000134901,"0,535247103482897",
ENSG00000250878,"0,597460756057638",
ENSG00000056998,"0,511367408799805",
ENSG00000183943,"0,513673107983947",
