ensembl_gene_id,Log2 RPKM mean_Male,Log2 RPKM mean_Female
ENSG00000202533,"0,717471822180084",
ENSG00000170469,"0,536416582403954",
ENSG00000113070,"0,510674964555065",
ENSG00000170458,"0,874614031961013",
ENSG00000242020,"0,515235393801453",
ENSG00000169252,"0,530776525011769",
ENSG00000249669,"0,622846617585607",
ENSG00000155850,"0,988007888510556",
ENSG00000164574,"0,535329089895885",
ENSG00000244394,"0,642639257653313",
ENSG00000135077,"0,572993863783007",
ENSG00000199035,"0,755416038521478",
ENSG00000240729,"0,50776009492307",
ENSG00000170089,"0,557084795057127",
ENSG00000249140,"0,561610146149392",
ENSG00000099840,"0,569923024828457",
ENSG00000095932,"0,503596279670421",
ENSG00000180739,"0,512023212589813",
ENSG00000130176,"0,509428314381576",
ENSG00000198429,"0,517568426129027",
ENSG00000104774,"0,545758423251319",
ENSG00000104889,"0,51607776444958",
ENSG00000171903,"0,585543578914184",
ENSG00000127528,"0,548366948922843",
ENSG00000105641,"0,635278609681579",
ENSG00000216490,"0,586815043465178",
ENSG00000105650,"0,534842926373702",
ENSG00000251948,"0,578234787344677",
ENSG00000131941,"0,658125552184029",
ENSG00000142279,"0,530078570028582",
ENSG00000105697,"0,63805390911829",
ENSG00000126264,"0,623555256506187",
ENSG00000128016,"0,686941124693933",
ENSG00000187534,"0,610277153497566",
ENSG00000160410,"0,615570916510834",
ENSG00000090006,"0,604447623876503",
ENSG00000130202,"0,541831441400076",
ENSG00000199066,"0,519021638888881",
ENSG00000221595,"0,600562010816058",
ENSG00000105483,"0,506173026212645",
ENSG00000142227,"0,688263096725649",
ENSG00000126458,"0,683329245218832",
ENSG00000171051,"0,550901992489143",
ENSG00000198538,"0,510090133497238",
ENSG00000179943,"0,50919580430915",
ENSG00000171649,"0,581237175884046",
ENSG00000227835,"0,789047916980557",
ENSG00000225472,"0,550098894811996",
ENSG00000237137,"0,545770622432328",
ENSG00000252406,"0,547460976008406",
ENSG00000122694,"0,540493187604985",
ENSG00000224615,"0,666993439135816",
ENSG00000202474,"0,63417756760704",
ENSG00000170161,"0,506532961299367",
ENSG00000204790,"0,607580344765067",
ENSG00000224185,"0,597447339095896",
ENSG00000200922,"0,525667866995486",
ENSG00000135046,"0,639400436335683",
ENSG00000165025,"0,506032534424087",
ENSG00000106809,"1,53490512338044",
ENSG00000127083,"0,741209699734249",
ENSG00000106823,"0,629249972371764",
ENSG00000252153,"0,6937710544945",
ENSG00000207698,"0,712560778561672",
ENSG00000041982,"0,679534538734104",
ENSG00000204136,"0,571144699723809",
ENSG00000106991,"0,66317925491801",
ENSG00000207955,"0,503426685756863",
ENSG00000223188,"0,54041937111718",
ENSG00000160325,"0,509800262145892",
ENSG00000199411,"0,581596564720871",
ENSG00000206053,"0,561984866130633",
ENSG00000198736,"0,515025137086931",
ENSG00000241516,"0,784233888005116",
ENSG00000103226,"0,627111814864362",
ENSG00000205730,"0,57857891898899",
ENSG00000169246,"0,550391050326657",
ENSG00000176046,"0,743268733196818",
ENSG00000103485,"0,538984878213796",
ENSG00000013364,"0,637362292680672",
ENSG00000099385,"0,535213360778614",
ENSG00000102924,"0,567538657889128",
ENSG00000121281,"0,634940731964982",
ENSG00000140807,"0,604572870001459",
ENSG00000087253,"0,686501521324601",
ENSG00000260549,"0,564971981334471",
ENSG00000259877,"0,503609080464374",
ENSG00000244577,"0,528391277058133",
ENSG00000261574,"0,560070850835853",
ENSG00000257110,"0,563275267185713",
ENSG00000165474,"0,534438636633181",
ENSG00000222726,"0,667966056011577",
ENSG00000232587,"0,620781781779446",
ENSG00000132965,"0,630256353782782",
ENSG00000133107,"0,605460616254693",
ENSG00000215475,"0,502449703833576",
ENSG00000136167,"0,69019150659118",
ENSG00000212054,"0,512836998960998",
ENSG00000206617,"0,670327970762828",
ENSG00000125257,"0,615766567783372",
ENSG00000207719,"0,596621640362288",
ENSG00000043355,"0,76435174446203",
ENSG00000187498,"0,668012410495884",
ENSG00000182378,"0,885666632447609",
ENSG00000252291,"0,521361490433172",
ENSG00000201882,"1,0350705204329",
ENSG00000251807,"0,500793499909078",
ENSG00000102265,"0,887585315197023",
ENSG00000017483,"0,645581945187667",
ENSG00000158352,"0,5555830658959",
ENSG00000207787,"0,578054006555276",
ENSG00000231729,"0,501065161504438",
ENSG00000155659,"0,755583274913656",
ENSG00000230629,"0,60606460192526",
ENSG00000102362,"0,502519073073572",
ENSG00000252627,"0,560190840429437",
ENSG00000201518,"0,607535022014582",
ENSG00000197620,"0,544142992189435",
ENSG00000013619,"0,520712582641533",
ENSG00000198883,"0,789024631223014",
ENSG00000211544,"0,607791608272664",
ENSG00000238781,"0,846978744811057",
ENSG00000146574,"0,540761125464715",
ENSG00000221783,"0,643044251522267",
